GENE,mr359-MV411-MYB-dTAG-DMSO_1h-r1_tcount,mr360-MV411-MYB-dTAG-DMSO_1h-r2_tcount,mr361-MV411-MYB-dTAG-DMSO_1h-r3_tcount,mr362-MV411-MYB-dTAG-DMSO_1h-r4_tcount,mr363-MV411-MYB-dTAG-DMSO_1h-r5_tcount,mr364-MV411-MYB-dTAG-DMSO_1h-r6_tcount,mr365-MV411-MYB-dTAG-VHL_1h-r1_tcount,mr366-MV411-MYB-dTAG-VHL_1h-r2_tcount,mr367-MV411-MYB-dTAG-VHL_1h-r3_tcount,mr368-MV411-MYB-dTAG-VHL_1h-r4_tcount,mr369-MV411-MYB-dTAG-VHL_1h-r5_tcount,mr370-MV411-MYB-dTAG-VHL_1h-r6_tcount
SF3B1,52,39,63,73,55,99,54,132,55,49,18,68
ANGPTL2,0,0,0,0,0,0,0,1,0,0,0,0
ABCB10,11,18,27,31,17,62,13,21,14,8,1,17
ABCB9,0,0,0,0,0,1,0,1,1,0,0,1
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,0,0,0,0,0,0,0,0,0,0,0,0
HEY1,0,0,1,0,0,0,0,1,0,0,0,0
ICMT,36,47,98,112,42,69,74,134,66,68,31,67
GCAT,0,0,1,0,0,1,0,1,1,0,0,0
CBX6,207,162,250,279,116,207,308,434,277,299,86,285
NPTXR,0,0,1,0,0,0,0,1,1,0,0,0
CBX5,156,163,224,282,138,207,209,401,198,192,52,221
PHF3,5,7,4,16,5,13,12,12,7,9,1,13
TRAM1,25,24,31,29,18,43,39,62,24,14,11,27
CAPN7,15,7,10,12,7,17,11,27,12,7,5,11
ETHE1,0,0,1,1,0,1,1,2,1,1,1,1
QPRT,3,4,5,7,3,3,6,8,3,8,0,4
BRD4,67,69,95,128,48,100,88,133,68,96,14,95
SEC11A,11,14,19,23,7,21,14,35,13,20,3,19
ISCU,11,5,9,22,15,13,18,38,23,22,7,18
SEC61G,1,0,6,1,2,2,0,4,2,2,1,2
PES1,16,13,15,23,9,17,10,24,6,10,9,23
TGDS,29,24,43,41,20,46,40,64,37,41,10,32
LEPROTL1,25,24,33,33,29,40,54,66,30,30,13,23
CES3,0,0,0,1,0,0,0,0,0,0,0,0
CBX7,0,3,2,2,1,0,0,3,1,0,1,3
HEY2,0,0,0,0,0,0,0,0,0,0,0,0
HAAO,0,0,0,0,0,1,0,1,2,0,0,0
MACF1,15,10,20,28,11,17,37,34,15,15,4,20
ZFYVE26,2,5,12,18,7,14,10,8,6,10,5,9
RIMBP2,0,0,0,0,0,0,0,0,0,0,0,0
TMEM131,4,6,5,3,13,8,5,11,8,9,1,10
BICRAL,25,19,22,27,13,27,23,63,24,22,14,17
LRRC8B,21,16,23,31,10,24,29,57,28,26,10,25
POFUT1,75,51,82,111,39,64,68,88,66,64,25,73
KCTD2,30,30,49,53,23,28,54,69,44,48,17,48
NUP188,4,3,3,7,1,7,8,16,11,3,0,4
SUZ12,37,33,33,53,33,63,38,68,41,24,10,45
SCRIB,1,3,1,4,4,0,2,3,3,5,0,3
SPIDR,2,2,5,5,0,3,3,5,4,5,0,2
MORC3,12,11,15,16,19,29,16,47,20,16,8,22
SLC39A14,49,41,78,93,27,56,73,87,57,52,24,67
MTREX,11,9,8,12,8,15,19,20,15,15,5,20
R3HDM1,4,3,9,11,5,8,10,10,6,3,4,9
ANP32D,0,0,2,0,2,1,2,0,0,0,0,1
RPL13A,170,112,181,227,89,129,196,261,151,158,62,204
KAT6B,5,11,11,14,10,18,18,15,20,8,6,10
CABIN1,15,8,20,14,4,6,27,29,24,15,10,15
SRRM2,31,44,66,74,18,42,55,70,34,36,8,54
ARHGAP45,16,13,23,16,8,14,20,14,10,17,1,13
ACAP2,31,20,27,33,19,40,38,56,25,24,5,29
ZNF281,25,20,24,26,16,36,22,52,29,23,6,34
CLCF1,8,6,6,4,2,1,7,7,4,6,3,10
NNT,15,12,13,17,14,15,11,18,11,13,8,18
MMD,6,8,12,18,1,19,12,20,6,10,1,11
PRAME,0,0,0,0,0,0,1,0,0,0,0,0
PIK3R5,49,40,60,64,31,47,40,40,22,36,14,34
TNPO3,73,63,64,114,58,84,91,126,65,62,21,63
ADAT1,5,6,11,14,7,7,6,17,7,13,0,10
SLC16A8,0,0,0,0,0,0,0,0,0,0,0,0
SEC14L2,0,1,0,0,0,1,1,0,0,0,0,0
MAPK8IP2,0,0,1,0,0,0,0,1,0,0,0,0
RBFOX2,1,0,0,1,0,2,1,1,1,1,0,2
SEZ6L,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V0A2,23,17,25,45,23,35,32,55,26,22,5,26
TTC33,3,5,2,7,4,5,5,7,4,10,4,5
DNPEP,45,25,56,55,19,33,56,67,46,46,16,49
PSD4,20,25,37,34,5,31,35,50,30,36,9,23
RASD2,0,0,2,3,0,1,2,0,0,0,0,0
CDK20,9,2,8,12,3,9,3,3,2,1,1,5
PIGN,0,1,2,3,0,3,2,3,0,1,0,2
SNAPIN,12,5,11,14,4,16,20,25,14,10,2,21
WBP2,17,7,15,12,3,14,12,18,12,17,2,21
WBP1,1,3,2,1,0,0,1,1,2,3,1,2
GTPBP4,44,50,50,78,39,33,41,92,49,53,18,45
DDAH2,0,2,2,5,0,3,2,4,1,2,0,1
ZNF346,9,7,18,23,10,8,17,25,17,20,3,21
ARL2BP,13,15,14,21,11,14,14,29,12,15,7,21
DDAH1,0,0,0,0,0,0,0,0,0,0,0,0
CDC42EP4,7,3,22,13,13,16,25,26,18,21,5,31
CCNDBP1,6,4,2,7,4,10,5,15,8,5,4,4
SMUG1,6,6,10,15,4,6,4,4,6,4,2,6
VSIG2,0,0,0,0,0,0,0,0,0,0,0,0
TMEM50A,31,14,23,43,15,30,33,50,28,31,18,43
DDX58,2,3,2,3,3,5,3,7,4,6,0,4
ELP5,38,42,50,75,22,30,46,69,32,43,18,43
KLHDC2,2,1,4,1,0,4,3,7,1,0,0,1
CARHSP1,30,29,42,47,15,42,38,54,46,32,20,52
PDSS1,6,6,5,11,0,16,9,11,8,7,8,11
LEMD3,16,15,15,20,8,30,21,39,16,15,9,21
HEBP2,1,2,0,1,1,0,2,7,0,0,0,0
ORC6,15,20,16,34,12,13,37,49,22,18,8,30
ORC3,1,1,3,1,2,2,2,5,1,0,0,2
ACOT9,0,0,0,2,0,0,1,1,3,0,0,0
PATZ1,49,51,87,96,50,72,115,149,90,75,34,94
AMACR,2,9,2,7,2,3,9,6,4,6,1,7
CLEC5A,0,0,0,0,0,0,0,0,0,0,0,0
CORO1C,59,54,80,72,45,78,95,128,66,62,39,87
DAPK2,0,1,3,0,1,1,0,0,0,1,1,2
CD2AP,3,5,3,6,3,9,8,10,4,6,0,3
MKRN1,42,42,64,70,24,44,48,85,53,40,18,66
MKRN2,27,24,35,33,24,37,42,59,24,29,8,25
PHLDA3,5,2,9,11,2,2,10,14,16,6,3,15
ZMYND8,31,24,30,37,21,48,44,51,36,23,24,39
SH3BP1,6,0,2,6,4,2,10,17,5,11,1,3
TSSK2,0,0,0,0,0,0,0,0,0,0,0,0
ZIM2,0,0,0,0,0,0,0,0,0,0,0,0
BACE1,1,1,5,1,3,2,2,5,1,0,1,2
RUSC1,3,5,9,15,3,6,17,12,5,10,2,8
FAM89B,26,13,22,23,13,19,38,40,18,28,13,16
PRND,0,0,0,0,0,0,0,0,0,0,0,0
KCNE5,44,39,66,85,36,61,31,34,17,26,10,21
CA14,0,0,0,0,0,0,0,0,0,0,0,0
KPNA6,119,102,135,186,63,159,181,242,136,136,50,153
SSBP2,3,6,6,8,5,6,7,19,2,6,1,5
NUP62,85,69,89,116,44,79,111,108,81,76,31,105
RABGAP1,1,3,6,12,4,10,6,9,6,5,0,8
LRRC6,0,0,0,1,0,1,0,0,0,0,0,0
HSPBP1,7,4,6,7,2,6,8,5,2,7,2,5
LDOC1,0,0,0,0,0,0,0,0,0,0,0,0
SNHG1,370,322,510,648,302,469,459,700,334,342,131,424
LY96,0,0,0,0,0,0,0,0,0,0,0,0
EDC4,2,1,4,3,1,1,2,11,3,1,0,1
PPP1R15A,9,3,12,19,6,7,11,22,9,11,6,12
PLD3,0,0,0,0,0,0,0,0,0,0,0,2
ARFIP2,17,9,17,20,12,22,22,27,13,26,6,20
SSBP3,7,4,2,11,2,7,6,7,4,5,2,5
POLA2,4,4,11,11,1,5,5,4,7,3,2,5
PLXNB2,7,10,29,24,5,15,42,37,16,27,8,25
SLC7A11,19,32,43,44,16,62,49,92,36,37,12,34
LSM5,9,17,24,23,15,21,24,29,8,14,7,15
PLA2G15,14,17,17,23,9,25,41,61,36,36,15,23
ZKSCAN5,25,17,26,27,15,20,21,24,28,33,8,20
CEMIP2,6,8,6,10,10,9,8,16,5,7,0,12
TMEFF2,0,0,0,0,0,0,0,0,0,0,0,0
STX12,20,16,29,37,13,24,48,32,39,18,12,19
SH3BP4,0,0,0,0,0,0,0,0,0,0,0,0
SGK3,6,12,15,20,23,34,20,24,14,20,6,31
RAB38,0,0,0,0,0,0,0,0,1,0,0,0
PRKD3,4,9,6,12,6,9,7,19,7,5,5,7
CADM1,2,0,5,0,0,1,2,5,1,0,0,1
GSPT2,0,0,1,0,0,0,0,0,0,0,0,0
GABARAPL1,15,8,10,27,10,7,18,22,12,16,5,25
SHPK,7,9,16,13,5,14,18,35,26,14,6,20
TMEM245,48,45,66,73,26,56,57,100,58,54,11,45
EID1,36,29,37,38,15,65,52,89,27,57,16,59
BHMT2,0,0,0,0,0,0,0,0,0,0,0,0
AIPL1,0,0,0,0,0,0,0,0,0,0,0,0
SDF2L1,0,2,5,8,4,0,11,9,4,5,5,7
PPIL2,27,12,30,38,17,31,30,29,24,27,8,17
PITPNB,67,76,76,97,47,73,83,123,68,49,20,82
PISD,25,27,47,52,26,37,43,34,34,34,8,30
OSBP2,0,0,0,0,0,0,0,0,0,0,0,0
MAFF,21,19,34,32,16,16,36,60,37,40,9,37
IL17RA,254,226,317,429,159,297,248,328,176,218,58,198
23766,1,4,3,0,0,0,0,0,0,1,0,0
FLRT1,1,5,2,6,1,5,1,8,3,0,0,0
FKBP8,7,2,9,2,2,4,10,10,7,7,7,5
BRD1,32,32,38,34,29,47,33,55,39,26,10,27
ARHGAP8,0,0,0,0,0,0,0,1,1,0,0,0
APOL2,1,2,2,2,0,5,7,2,6,0,0,5
BCL2L13,51,39,67,69,36,37,71,74,49,46,17,67
MTCH1,54,27,61,84,30,45,77,73,53,64,25,55
MTCH2,12,14,13,13,7,8,8,24,11,9,3,9
KIF4A,3,0,4,2,1,2,4,7,5,1,1,2
IFIT5,1,1,2,2,0,0,2,0,1,0,1,4
EML2,22,10,26,37,11,23,24,32,22,14,0,43
FTSJ1,12,9,8,13,9,10,16,17,13,9,6,20
LAMP5,107,95,150,182,87,107,159,206,135,146,33,143
NAA80,4,1,5,1,1,1,2,1,2,2,1,1
TFIP11,2,3,3,1,4,1,3,1,1,3,1,1
PANX1,18,7,21,33,12,21,33,34,13,16,7,31
CLDN15,4,2,1,3,1,2,5,3,1,4,0,5
PRPF6,3,1,0,1,1,0,2,3,4,3,1,4
ZNF318,4,1,10,10,2,3,3,8,3,5,1,0
TP53TG3,0,0,1,0,0,0,0,0,0,0,0,0
HYPK,8,10,7,12,1,5,4,10,7,4,1,5
PRPF40B,0,0,1,0,0,0,0,1,0,2,0,0
TBC1D22A,6,3,11,13,16,4,9,8,8,10,2,11
GSTT4,0,0,0,0,0,0,0,0,0,0,0,0
C22orf24,0,0,0,0,0,0,0,0,0,0,0,0
CBY1,5,4,8,8,1,3,2,6,1,6,1,3
SUN2,24,23,43,52,20,27,42,56,36,45,16,36
DSTYK,32,23,41,43,34,38,38,31,16,28,7,39
RASGRP3,0,0,0,1,0,1,1,0,0,0,0,0
RAB3GAP2,21,20,17,44,20,40,36,52,24,25,9,30
DGCR11,2,2,4,4,0,2,3,8,4,7,1,4
25787,0,0,0,0,0,0,0,0,0,0,0,0
RAD54B,8,3,7,5,3,7,4,13,8,1,0,14
CIZ1,4,1,4,2,0,0,3,2,0,0,0,1
FBXO7,6,7,12,7,2,5,13,19,10,3,2,8
PGLS,6,4,11,7,5,4,6,11,4,6,3,2
BRI3,6,3,3,11,3,3,4,7,4,4,1,7
ZNF324,22,19,37,36,19,28,35,45,23,29,10,31
SLC39A6,8,6,12,14,2,10,10,18,7,11,3,15
GCA,3,1,3,4,0,4,2,8,4,2,4,2
LSM4,19,16,14,35,9,27,29,47,35,21,8,23
BAMBI,0,0,2,3,0,1,1,1,1,1,0,1
RHBDD3,2,1,1,2,0,3,3,1,1,2,0,3
TTLL1,1,1,3,0,1,2,1,2,2,5,0,6
25812,0,0,0,0,0,0,0,0,0,0,0,0
SAMM50,1,2,0,2,0,1,4,0,5,5,0,0
ATXN10,3,1,6,12,6,4,5,21,2,2,1,6
TNFAIP8,4,1,5,5,2,4,6,3,0,1,2,3
NOCT,18,12,21,25,13,29,9,24,6,6,4,10
ARIH1,60,64,86,95,61,92,60,118,78,54,18,79
MTO1,6,8,18,9,5,17,2,13,9,10,0,8
DNAJB5,3,6,6,6,1,4,9,10,6,8,1,3
PRDX5,1,0,1,3,2,2,6,2,2,1,0,3
BACE2,0,0,0,1,0,0,0,1,1,0,0,0
SNORD82,2,0,3,3,0,1,1,2,2,0,0,7
FBXL2,0,0,0,0,0,0,0,0,0,0,0,0
TXN2,11,9,13,14,8,12,16,27,6,19,9,18
TMEM184B,14,5,11,17,8,5,13,17,8,15,2,16
HECTD1,18,17,26,32,12,22,29,42,16,23,8,38
NBPF14,3,4,2,9,3,3,5,7,5,7,3,2
POU2F3,0,0,0,0,0,0,0,0,0,0,0,0
NIPBL,13,12,18,21,10,24,25,20,18,7,0,19
RAB26,1,0,0,0,0,1,0,0,1,1,0,0
COG4,0,1,1,1,0,2,2,3,2,2,0,4
METTL7A,0,2,1,3,1,2,2,0,3,5,0,2
ABTB2,3,7,1,3,1,0,0,3,10,1,1,4
ASF1A,25,20,29,43,26,43,37,40,25,17,5,31
MOB4,34,19,46,40,27,64,46,76,25,31,7,27
YIPF3,7,4,6,12,1,9,13,7,8,4,5,8
25845,72,58,96,108,41,63,72,94,76,68,27,74
ANAPC13,12,23,23,26,9,35,22,36,20,24,11,30
PARM1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF345,2,1,2,7,0,4,4,3,2,0,2,5
TECPR1,5,0,4,4,3,1,7,4,0,3,0,3
ARMC8,21,15,22,33,8,35,27,29,23,22,7,27
DCAF12,84,71,115,164,65,117,116,159,69,80,41,90
BRMS1,6,6,8,7,6,5,18,9,9,9,5,8
PART1,0,0,0,0,0,0,0,0,0,0,0,0
USP49,22,21,28,36,8,22,32,41,21,23,8,33
ABHD14A,0,0,1,1,0,0,2,1,0,2,1,0
PRKD2,3,3,4,1,5,2,2,8,1,0,0,3
SUMF2,10,5,12,7,2,7,19,16,11,8,6,14
NEPRO,71,46,72,85,49,91,79,125,48,61,13,85
RPL36,7,5,17,6,9,6,13,8,9,9,7,9
MPC2,3,6,8,13,4,5,12,19,10,6,2,7
LETMD1,16,11,16,21,9,18,14,17,7,9,1,17
DCAF13,3,9,3,8,2,8,3,8,3,3,1,5
TMEM186,16,13,16,18,12,23,13,16,18,14,7,17
POLR1A,16,7,17,24,10,13,16,23,16,13,6,13
POC1A,1,1,4,10,1,3,4,8,1,4,0,1
ZNF473,12,17,17,26,6,21,25,42,29,25,8,22
ABI3BP,0,0,0,0,0,0,0,0,0,0,0,0
TRIM58,0,0,1,0,0,0,0,0,0,0,0,0
PLEKHG4,1,2,1,1,1,3,1,1,2,2,0,4
EEF1AKMT3,15,5,8,13,5,10,15,17,8,14,4,7
INTS7,31,30,45,49,17,40,34,69,29,25,3,35
RNF19A,45,18,35,53,29,50,54,69,28,17,10,38
RCHY1,11,9,12,23,10,23,14,25,10,10,5,7
IFFO1,4,12,5,10,4,8,6,10,3,11,4,9
CCDC28A,0,0,2,3,1,0,2,1,3,1,0,0
MTHFD1L,6,3,4,8,5,10,9,10,14,9,1,7
CNOT10,2,1,1,4,2,1,3,0,2,1,0,5
ANAPC15,5,1,2,3,2,2,5,5,2,6,1,8
TMEM158,1,0,0,0,0,0,0,0,0,0,0,3
AHCTF1,22,20,27,36,19,31,38,57,25,31,11,29
DPCD,0,0,0,0,0,0,2,1,0,0,0,2
C1orf43,97,82,146,147,60,105,134,176,115,133,39,122
POT1,11,11,13,13,9,15,14,37,10,12,5,16
RTTN,0,1,1,1,1,2,0,4,0,2,0,1
NDUFAF3,1,1,10,2,0,5,3,3,2,0,1,2
THUMPD3,17,14,28,32,21,19,29,34,28,19,5,31
NELFB,2,7,4,6,1,4,9,7,3,5,3,2
ZDHHC5,56,58,84,129,55,78,115,120,64,81,33,71
ATL3,85,63,88,135,79,116,73,120,64,67,25,68
ZNF521,0,0,0,0,0,0,0,0,0,0,0,0
NOL11,9,5,6,10,9,6,16,14,6,6,1,12
GEMIN5,4,5,8,12,1,9,8,12,10,2,0,4
PTPN23,2,0,6,3,2,0,4,10,1,4,1,2
CLIC4,71,52,108,98,54,103,82,167,67,59,17,84
NIPSNAP3A,3,3,1,8,0,3,0,6,8,2,0,4
NSL1,21,16,27,26,10,28,36,44,25,28,10,29
WWTR1,0,0,0,0,0,0,0,0,0,0,0,0
HEATR5A,3,1,2,1,1,0,3,0,0,1,0,0
SAMHD1,45,43,49,72,26,59,63,76,43,49,19,48
FAM98A,13,13,14,22,6,17,15,26,18,12,6,17
TPGS2,10,8,11,14,4,10,10,18,3,8,7,8
SIN3A,78,69,74,125,42,81,105,124,75,87,22,78
C20orf194,69,65,101,134,44,78,99,130,67,87,18,100
NECTIN3,0,0,0,0,0,0,0,0,0,0,0,0
ZNF385A,10,12,7,14,4,13,18,24,17,19,3,14
KBTBD2,37,13,43,51,27,43,56,74,42,51,15,59
SYF2,2,2,9,14,6,4,9,20,6,5,0,8
RWDD3,1,7,1,0,6,6,7,1,1,5,1,4
PNKD,16,16,15,21,7,18,13,7,13,10,2,6
SEC31B,2,0,2,1,1,0,5,1,2,0,0,1
PNISR,165,156,252,289,146,295,256,323,219,187,56,250
KANK2,6,7,17,24,9,17,30,38,28,25,7,30
ADGRA2,39,31,63,89,28,53,31,46,34,40,19,31
NUDT13,0,0,1,0,0,0,2,1,2,2,0,0
VIRMA,9,10,6,25,7,13,11,21,14,13,5,10
TMEM87A,58,50,67,89,48,64,68,89,41,57,19,60
C2CD2,18,11,20,18,10,15,20,26,13,9,4,18
SH2B1,16,9,15,31,6,12,15,19,20,15,4,23
UNC50,0,1,2,3,0,5,1,2,0,1,0,0
PARS2,6,3,7,9,1,6,15,17,5,3,1,2
MMACHC,7,6,7,11,4,5,6,9,5,7,1,6
TIPARP,64,53,95,117,54,155,131,326,138,107,42,119
NECAP1,21,20,19,36,11,25,30,43,26,23,8,22
CHMP2B,4,2,5,6,4,11,3,11,7,2,0,10
DHRS7B,0,3,1,6,0,7,2,4,4,9,2,3
AAR2,42,24,44,51,22,44,73,74,40,56,16,44
DNAH1,0,0,0,0,0,0,0,0,0,1,0,0
NGDN,8,1,8,7,3,8,2,13,5,4,1,5
TSKU,0,1,0,1,0,2,4,3,3,8,0,6
HINFP,2,2,3,6,5,7,4,7,3,4,0,3
ULK3,42,21,48,70,22,39,47,73,51,58,7,38
SNED1,0,2,0,0,0,0,0,0,0,0,0,0
HIGD1A,2,4,5,13,4,3,7,13,4,8,0,4
REXO2,0,1,0,2,1,1,1,1,0,0,0,1
IBTK,17,12,10,10,7,22,16,16,19,8,3,10
CLIP3,1,0,2,1,1,1,1,0,1,0,0,2
TBC1D10B,22,10,32,25,13,23,38,33,25,26,8,23
RNF167,3,2,5,8,0,4,1,6,4,3,0,2
GORASP2,47,33,58,48,34,45,56,91,54,40,22,44
C2CD3,7,1,4,4,2,0,0,1,7,4,3,0
TKFC,1,2,0,1,0,1,1,2,0,3,0,5
ZZZ3,28,31,47,48,44,69,63,96,35,29,14,42
SPATS2L,3,4,1,3,1,3,4,2,1,1,1,3
TENM4,0,0,0,0,0,0,0,0,0,0,0,0
NSMF,16,18,20,32,10,22,42,45,27,30,10,30
L3MBTL1,0,0,1,1,0,0,0,1,0,0,0,0
RPAP1,3,2,7,1,0,3,4,1,0,7,0,3
FAM32A,122,80,138,176,64,74,104,111,92,68,23,57
LRIG1,2,2,6,0,0,5,1,2,0,2,2,1
UPF2,52,49,65,79,32,52,85,107,56,47,9,70
LRP10,6,3,5,3,2,2,2,10,5,5,1,6
PTCD1,12,10,25,21,12,15,17,35,17,23,14,14
PCDHGA12,41,32,55,54,17,42,39,37,39,46,24,44
ACOT11,1,1,4,2,0,0,2,0,2,1,1,0
PLEKHG3,2,0,3,6,0,4,2,9,1,3,3,5
OSBPL3,3,0,1,0,0,1,1,9,4,1,0,0
SUSD5,0,0,0,0,0,0,0,0,0,0,0,0
IPCEF1,4,6,6,11,2,6,18,27,10,14,1,20
GLCE,4,7,18,13,5,20,6,18,5,11,4,11
ZNF451,59,41,61,72,28,111,54,121,40,54,16,48
SIPA1L1,0,0,0,3,0,1,1,1,0,0,0,1
CHD5,0,0,0,0,0,0,0,0,1,1,0,0
SS18L1,34,44,44,66,20,54,55,72,40,51,13,50
SETBP1,0,0,0,0,0,0,0,0,0,0,0,0
UBXN7,21,13,12,25,15,23,22,51,18,24,9,30
LRRTM2,0,0,0,0,2,2,0,3,1,0,0,0
LTN1,9,9,17,22,10,22,27,38,14,17,6,12
CNTNAP2,0,0,0,0,0,0,0,0,0,0,0,0
ZNF500,11,6,15,14,3,5,11,15,6,10,0,7
FAM169A,0,0,0,0,0,0,0,0,0,0,0,0
SLITRK5,0,0,0,0,0,0,0,0,1,0,0,0
PPP1R16B,42,33,58,66,34,48,98,106,84,91,20,84
DNM3,0,0,0,1,0,2,1,0,1,0,0,0
AUTS2,0,0,0,1,0,0,1,1,1,2,0,1
SENP6,18,8,15,16,4,10,14,28,10,21,5,16
RAB11FIP5,0,0,0,0,0,0,0,1,0,0,0,0
ANKRD17,12,14,20,30,12,34,23,37,17,16,5,24
GIGYF2,50,30,43,70,33,57,64,95,43,39,16,47
ERC2,0,0,0,0,0,0,0,0,0,0,0,0
APPL1,23,26,25,27,12,36,15,34,15,15,6,17
HACL1,6,10,2,5,3,7,4,12,7,8,1,8
DECR2,2,1,1,1,1,0,0,4,4,6,1,2
RAI14,0,0,0,0,0,0,0,0,0,0,0,0
LSM14A,36,33,49,68,36,56,55,99,51,37,10,64
RTL8A,0,5,4,5,2,4,9,9,5,8,2,6
POLDIP2,10,15,16,18,12,19,19,24,16,20,9,21
CFAP61,0,0,0,1,0,0,0,0,0,0,0,0
LINC02249,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF26,0,0,0,0,0,0,0,0,0,0,0,0
GPSM1,4,1,1,2,1,1,4,3,2,1,2,2
GGA1,13,4,4,6,2,4,9,11,11,6,1,5
ABHD12,2,2,6,7,2,3,12,15,22,11,1,10
HERC4,10,10,7,18,11,14,14,22,7,12,4,11
TOR1AIP1,27,24,33,44,20,46,35,51,39,25,10,28
CCDC9,5,6,2,8,2,2,8,6,3,2,1,2
DCAF4,6,11,17,21,9,12,16,18,9,16,4,10
PTPN20,0,0,0,0,0,0,0,0,0,0,0,0
CHTOP,70,57,55,88,36,59,98,111,74,63,18,59
EDRF1,5,4,9,13,12,12,14,17,10,10,3,7
SZRD1,86,66,123,150,55,101,120,136,91,111,33,104
WIPI2,22,10,26,29,9,24,15,33,16,17,5,18
26102,0,0,0,0,0,0,0,0,0,1,0,0
PYGO1,0,0,0,0,0,0,0,0,0,0,0,0
CCDC69,2,1,2,4,0,3,0,2,4,1,2,3
TANC2,25,7,23,26,9,21,15,37,16,21,8,16
WSB1,26,15,36,38,22,36,51,74,34,35,10,36
LDLRAP1,9,8,16,9,6,14,21,32,25,14,7,11
PRPF31,4,5,16,6,6,2,8,11,2,12,2,3
EPC2,27,29,26,31,25,37,37,60,25,24,13,37
TCTN3,4,1,2,11,1,8,5,4,5,5,0,5
FGFR1OP2,21,10,20,15,9,34,27,34,20,23,8,35
KIFBP,7,2,6,7,3,3,4,10,1,7,0,4
GAPVD1,21,15,20,32,15,30,28,37,21,29,7,32
TRPC4AP,5,2,11,15,2,4,17,11,5,16,2,9
26134,4,0,4,11,3,5,5,6,2,2,1,8
SERBP1,107,97,153,161,93,239,123,251,92,120,37,107
TES,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB20,14,13,15,19,9,26,19,36,16,20,1,22
TTLL3,4,1,7,9,2,4,3,7,4,3,0,7
IRF2BP1,12,8,17,16,7,11,16,20,13,11,8,20
TRAF3IP1,2,1,1,1,1,2,2,1,3,1,0,4
PHF19,71,60,79,89,53,64,104,141,93,106,27,105
26148,0,1,3,3,1,3,0,4,4,3,2,5
ZNF658,3,0,4,5,2,5,1,5,0,1,1,1
NAT9,43,38,55,66,22,30,45,59,41,43,10,52
ZNF337,8,5,7,7,2,6,10,7,7,12,5,9
ABCA12,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,9,5,6,7,0,8,6,8,10,5,2,5
RSL1D1,69,50,82,131,46,84,109,138,91,94,25,79
GIMAP2,1,0,0,0,1,0,1,0,1,0,1,0
IFT172,0,0,0,1,0,0,0,0,0,0,0,0
MTG2,7,3,18,16,8,7,15,21,19,17,2,14
SENP3,11,8,14,11,0,7,11,14,8,4,0,10
INTS1,0,0,3,1,1,2,3,1,1,1,0,1
TMEM251,6,3,5,5,3,6,8,15,11,5,0,4
FBXW2,30,29,56,69,22,50,58,70,44,47,9,46
PTPN22,2,2,1,1,0,9,1,1,2,0,0,4
GMEB2,39,34,63,60,22,33,52,66,45,42,19,47
SPAG8,0,0,0,0,2,1,0,0,0,0,0,0
PITPNC1,5,5,11,6,2,20,11,19,9,10,3,14
26220,0,0,0,0,0,0,0,0,0,0,0,0
FBXL3,38,26,35,44,36,47,47,85,40,41,15,41
ARL5A,14,14,22,25,15,30,32,40,9,13,6,20
FBXW4P1,5,0,4,1,5,2,0,7,5,3,5,0
PHGDH,0,1,0,3,2,1,1,2,2,2,0,2
STAP1,0,0,0,0,0,0,0,0,0,0,0,0
B3GAT3,22,11,23,33,7,23,37,39,14,32,9,23
TIAM2,0,0,0,0,0,0,0,0,0,1,0,0
LRRC29,0,0,0,1,0,0,0,0,0,0,0,0
FBXL6,2,4,0,4,0,5,6,5,4,3,0,1
FBXL5,21,14,39,23,7,23,28,47,25,21,3,22
FBXL4,3,0,1,2,1,2,3,2,4,2,1,0
FAM50B,5,4,4,15,1,6,9,7,7,7,1,3
KLHL3,3,0,0,3,0,0,1,1,0,1,2,3
26255,8,3,5,2,3,4,3,1,5,4,0,7
CABYR,0,0,1,0,0,0,0,1,0,0,0,0
BLOC1S6,53,42,68,76,26,73,60,98,44,55,10,56
FBXW8,29,19,18,35,10,26,22,39,23,16,4,24
FBXO25,2,2,4,4,1,4,4,7,1,3,2,2
TSPAN17,8,2,3,10,1,10,10,19,5,7,1,6
FBXO22,16,14,18,15,11,25,16,36,18,12,4,15
SLC13A4,0,0,0,0,0,0,0,0,0,0,0,0
FBXO10,5,10,4,6,1,4,12,11,3,6,4,3
FBXO9,8,9,10,19,7,12,12,30,8,13,3,9
FBXO8,1,1,0,1,1,3,3,6,2,2,0,6
FBXO6,1,0,0,5,0,0,3,0,3,0,0,2
FBXO5,16,14,15,13,14,23,15,19,14,10,10,18
FBXO4,4,1,2,2,2,1,3,3,1,1,1,3
FBXO3,2,7,2,3,1,8,3,5,4,4,1,6
HIBCH,1,0,1,0,0,0,1,2,1,0,0,0
VPS33B,5,1,0,1,0,5,6,11,5,8,0,0
TINF2,10,18,24,24,11,25,34,41,15,21,7,30
SACS,15,5,6,19,21,18,11,25,16,14,6,11
