GENE,mr522-MV411-DMSO-r1_tcount,mr523-MV411-DMSO-r2_tcount,mr524-MV411-DMSO-r3_tcount,mr525-MV411-DMSO-r4_tcount,mr526-MV411-DMSO-r5_tcount,mr527-MV411-Mebendazole-r1_tcount,mr528-MV411-Mebendazole-r2_tcount,mr529-MV411-Mebendazole-r3_tcount,mr530-MV411-Mebendazole-r4_tcount,mr531-MV411-Mebendazole-r5_tcount
TXNL4B,19,20,19,55,21,15,25,16,29,13
TMEM160,0,0,0,0,0,0,0,0,0,0
GEMIN8,1,3,1,2,1,0,1,2,3,3
SSH3,1,4,1,5,5,3,4,2,5,0
TIPIN,6,4,2,6,5,3,1,4,2,5
UCKL1,2,4,6,14,0,7,6,3,8,1
C1orf56,1,0,0,0,0,0,0,0,0,0
PIGX,0,3,3,12,3,8,14,8,11,1
TMEM70,67,61,70,166,54,47,59,65,97,46
HPF1,1,0,2,3,1,0,1,1,0,0
TTC12,0,0,0,0,0,1,0,0,0,0
BANP,0,0,1,2,0,0,0,2,0,0
INTS11,1,0,0,1,1,0,3,2,1,1
THG1L,8,9,9,25,8,8,9,15,5,5
C20orf27,5,1,10,19,4,5,4,3,4,2
SLC25A38,8,13,21,39,22,15,18,14,13,6
SLC35F6,1,7,6,13,5,6,6,9,4,3
C2orf42,6,7,3,7,7,3,5,4,10,4
NMRK1,0,2,0,3,3,2,2,0,3,0
CLN6,10,12,9,18,9,7,8,4,14,3
PINX1,10,19,23,40,20,23,31,26,29,17
HCFC1R1,0,0,2,3,3,2,0,2,5,1
ULK4,2,6,4,13,3,4,2,0,2,0
CZIB,11,10,9,34,9,6,5,11,23,7
ZNF770,41,37,39,99,36,46,56,34,59,20
C1orf159,1,0,1,6,0,1,2,1,1,2
ZSCAN2,2,4,6,19,3,4,9,6,8,2
GID8,21,39,42,81,48,38,39,38,39,36
OXSM,0,0,0,0,4,1,0,1,0,1
TESC,0,3,1,2,4,1,3,4,4,2
AURKAIP1,3,5,3,3,0,0,6,4,8,1
TMCO3,2,2,3,5,0,6,2,3,3,1
PAK1IP1,5,11,9,13,15,13,9,8,19,9
LAMTOR1,16,18,11,40,17,20,34,23,38,14
RMND1,8,4,7,34,3,5,8,9,8,2
TRMT61B,1,2,1,0,1,0,2,2,1,2
FAM118A,13,19,21,33,12,22,13,12,24,9
HERC6,0,0,0,1,0,1,0,0,1,0
FAM174C,1,10,9,23,5,4,18,10,13,7
PARPBP,10,13,6,29,6,6,10,15,13,5
PIH1D1,0,2,0,1,0,0,0,1,3,1
PPP2R3C,16,12,24,50,17,21,22,15,30,20
MCUB,0,0,0,0,0,0,0,0,0,0
STX17,7,7,7,38,7,8,12,13,21,5
PRPF39,13,10,8,23,8,7,16,14,19,7
MARCHF1,0,0,0,0,0,0,0,0,0,0
C14orf119,38,36,71,130,49,58,56,50,70,31
TTC38,3,4,4,19,10,2,11,3,5,4
PHIP,139,126,77,309,103,130,176,115,164,68
TMEM255A,0,0,0,3,0,0,0,0,1,0
HEATR3,1,3,6,12,0,1,5,1,2,4
C17orf80,22,28,29,76,40,34,38,34,34,22
FBXO34,45,27,33,119,56,76,71,42,72,27
USP47,33,34,32,70,53,37,43,36,62,22
SLC35A5,25,13,11,24,16,26,18,12,16,12
FKBP14,11,14,7,37,19,17,22,17,21,7
NOL8,132,128,173,421,161,157,215,138,202,112
PTCD3,30,53,40,138,58,57,60,59,66,37
CDCA4,19,27,27,59,24,21,32,36,28,22
TRMT12,21,22,19,82,35,45,28,26,44,21
PLEKHB2,72,82,83,174,101,89,92,75,91,76
VPS37C,4,9,10,27,5,11,12,6,11,7
REX1BD,2,2,0,1,0,1,3,1,1,1
NRDE2,0,3,3,2,2,3,4,2,2,1
MRPL20,11,22,27,47,20,14,23,19,22,9
ATG16L1,35,43,65,142,83,64,69,49,75,38
ZWILCH,11,11,16,32,16,19,18,18,23,6
GABPB1-IT1,37,22,31,57,36,43,50,31,44,28
WIPI1,0,0,0,0,0,0,1,0,0,0
ZCWPW1,0,0,0,0,0,0,0,0,0,0
PDPR,48,55,60,162,69,72,76,63,80,45
TMEM248,37,33,27,84,43,39,50,30,32,23
DET1,3,7,10,25,4,6,9,5,11,6
C9orf40,36,34,27,71,26,32,31,23,34,16
RNF31,0,0,2,3,3,0,2,3,0,1
55073,9,9,1,12,6,9,12,14,15,5
OXR1,49,41,28,93,27,43,57,44,45,18
UACA,1,0,0,3,0,0,0,2,0,0
TMEM45A,0,0,0,0,0,0,0,0,0,0
TAPBPL,0,0,1,3,0,1,2,0,0,3
IFT57,1,0,0,6,0,0,1,2,3,2
ARGLU1,39,32,45,103,45,51,45,41,63,29
KIF26B,0,0,0,0,0,0,0,0,0,0
SOBP,0,1,0,0,0,0,0,2,0,1
CCDC186,25,31,42,83,27,29,30,30,40,37
MED9,15,21,34,70,33,32,25,20,39,22
TMEM51,0,2,0,0,0,0,1,0,0,1
NTAQ1,15,11,9,28,12,11,10,7,15,6
GPATCH1,2,4,1,5,1,7,5,0,3,2
SAMD4B,18,16,7,24,10,13,14,16,31,15
EBLN2,1,11,1,19,6,7,5,6,2,2
WDR70,0,0,2,5,1,1,2,0,0,1
DMAC2,14,39,42,102,36,21,42,40,44,23
ATG2B,10,16,4,34,12,22,11,14,20,9
GPATCH2,14,28,10,46,17,24,18,16,28,12
BSDC1,15,26,19,54,10,38,44,28,53,27
AGGF1,11,17,13,32,8,17,8,8,23,9
MAGOHB,15,7,9,48,11,18,21,19,18,9
PLEKHJ1,12,19,24,37,17,22,16,14,29,22
DYNC2I1,1,0,0,0,1,0,1,0,1,1
XKR8,4,3,2,2,5,5,3,1,2,0
ARHGAP17,7,15,19,36,21,7,11,13,16,7
TMEM39B,1,0,0,0,2,3,1,0,3,0
PRPF38B,48,51,52,117,48,43,61,46,53,24
FANCL,11,5,15,8,13,15,11,5,17,4
AKIRIN2,14,19,12,19,15,17,30,18,19,13
CEP192,0,2,3,2,2,3,3,0,3,3
HEATR1,12,14,15,52,17,21,27,18,29,11
TRIM68,3,5,2,18,4,5,3,3,10,7
ANO10,0,0,0,0,0,1,0,0,0,0
RBM28,7,3,3,12,5,2,11,0,4,5
LARP1B,16,25,29,55,17,12,29,18,19,14
SRBD1,1,1,1,3,3,2,4,2,4,4
WRAP53,0,0,0,0,0,0,0,1,0,0
ANKZF1,3,2,0,3,2,2,2,3,4,1
ELP3,20,36,17,77,33,28,32,21,25,15
HAUS2,34,41,35,118,56,58,68,54,60,44
CDCA8,12,17,23,64,29,26,27,27,22,16
LRRC8D,14,10,12,27,11,11,23,8,24,9
THAP1,35,32,37,119,33,27,65,43,62,33
ZDHHC4,1,2,0,2,0,1,5,0,2,0
RBM23,20,17,23,63,29,34,35,33,49,23
UBR7,31,39,61,115,47,43,47,48,51,34
MTPAP,25,25,22,78,29,29,20,21,31,10
C19orf73,0,3,3,4,0,2,7,1,8,4
TMEM38B,7,7,7,9,4,10,8,7,11,8
DALRD3,1,2,2,5,2,1,2,1,2,1
SDAD1,21,12,13,38,15,20,20,20,23,9
MSTO1,7,3,12,12,4,6,2,7,5,4
ARMC1,46,45,31,111,46,53,80,52,69,32
DARS2,1,4,5,22,11,9,6,7,8,2
RFWD3,62,98,89,238,115,103,121,92,125,71
ARHGEF10L,0,0,0,0,0,1,1,1,0,1
TMEM33,50,44,32,113,44,42,53,45,53,24
PNPO,5,6,6,14,5,9,9,4,16,7
SHQ1,15,14,17,32,17,16,24,10,18,9
CEP55,6,14,8,37,5,13,11,11,11,5
CENPQ,17,6,10,22,10,10,7,16,6,6
MSL2,47,50,42,187,73,62,94,55,77,30
MRPS18A,2,5,1,14,6,6,20,4,8,7
PRMT6,27,23,24,51,32,25,20,25,31,21
TBCCD1,2,1,3,6,1,0,2,3,3,6
DNAAF2,4,1,1,1,1,0,3,2,3,5
MRPS10,10,29,36,78,30,30,38,20,34,21
INTS10,7,3,11,32,13,6,11,6,22,2
KLHL11,21,28,23,76,38,28,41,29,39,20
SEC61A2,10,6,1,15,6,7,7,10,7,3
RMDN3,6,12,5,26,6,9,6,13,12,5
MRM3,8,9,16,15,5,12,9,13,19,11
FAIM,0,0,0,1,0,0,0,0,1,0
SMG8,1,1,0,7,1,4,4,7,4,1
RNF220,12,21,24,41,25,16,30,29,19,15
RIF1,28,31,29,60,23,24,37,30,59,16
DZANK1,0,0,3,8,0,3,2,0,2,1
SLC25A36,64,72,33,200,59,72,92,63,93,38
VPS13D,7,4,6,20,8,4,8,5,9,4
RIC8B,8,12,9,25,17,15,19,17,22,10
NADSYN1,0,0,0,0,0,0,0,1,0,3
DNAJC17,0,0,0,0,0,0,0,0,2,0
PBRM1,11,37,17,78,30,30,46,21,45,26
EVA1B,0,0,0,0,0,0,0,0,0,1
RESF1,38,49,31,95,44,56,52,59,83,34
RPRD1A,39,46,25,114,55,60,73,53,79,41
APPL2,4,5,3,4,3,3,8,2,7,7
55199,3,4,5,11,4,7,9,5,10,8
MAP1S,1,0,0,0,0,0,0,1,1,0
LGI2,0,0,0,0,0,0,0,0,0,0
GOLPH3L,14,12,22,71,27,23,28,30,26,12
ZNF532,0,0,0,2,1,1,0,0,1,0
SBNO1,68,79,53,182,85,68,81,63,126,63
ARL8B,78,102,66,227,113,109,154,92,146,81
DCUN1D2,15,11,11,64,9,21,25,15,18,11
SETD5,31,47,53,103,49,51,60,50,62,46
ATAD3A,0,2,0,9,4,4,1,3,5,2
BBS7,1,2,1,0,2,3,2,3,2,1
RCBTB1,16,10,6,29,8,13,17,11,11,9
FANCI,2,4,12,12,11,11,16,13,7,6
NKAPD1,46,51,57,120,54,60,92,63,78,38
TMLHE,1,0,0,1,0,0,0,0,0,0
EXD2,3,2,6,11,5,5,7,10,4,7
MACO1,6,10,12,29,13,10,20,10,21,9
LRRC20,1,1,0,0,1,0,0,2,1,0
TRIM62,0,2,6,2,7,2,0,4,2,4
RAVER2,0,0,0,0,0,0,0,0,0,0
NAT10,10,10,12,58,21,8,16,12,10,9
LRRC1,0,1,0,5,0,2,1,1,2,0
PANK4,0,3,1,2,1,1,3,3,5,0
USP40,2,2,1,1,0,3,3,1,4,0
CCDC87,0,0,0,0,0,0,0,0,0,0
MOB1A,120,135,93,310,137,148,150,124,142,77
SMU1,13,11,7,19,22,23,22,23,25,11
UBA6,19,17,16,65,14,17,25,22,34,10
SLC38A7,2,3,9,11,1,5,7,9,9,6
OGFOD1,18,26,28,56,25,23,10,33,26,26
STEAP3,2,2,0,7,6,2,4,2,2,4
UQCC1,14,9,12,29,14,19,21,17,28,16
CCDC25,30,47,49,137,54,46,70,45,64,22
NEIL3,3,7,6,20,1,4,6,5,5,3
PACC1,16,13,31,59,15,12,19,6,16,7
YY1AP1,37,57,51,104,57,53,51,40,55,46
ELP2,0,0,0,4,2,1,1,2,1,2
PCMTD2,11,7,7,30,12,17,12,8,17,13
ASXL2,23,46,17,75,42,36,66,38,49,41
TYW1,9,14,20,47,16,20,18,13,25,7
TMEM39A,54,55,53,157,92,89,76,71,94,51
WDR41,9,15,16,40,17,20,24,20,29,8
ADI1,34,34,41,64,30,32,42,38,42,20
MRGBP,18,18,20,44,13,18,17,20,18,8
CFAP94,0,0,0,0,0,0,0,0,0,0
TMEM143,0,1,1,3,1,2,2,7,1,2
MAP11,3,7,4,5,6,6,7,1,14,3
TMEM19,0,1,1,4,6,5,6,4,7,2
ECHDC2,0,0,0,1,0,0,0,0,3,0
PSPC1,24,24,35,88,20,22,39,25,38,24
NUDT15,52,40,54,137,57,63,67,58,66,38
IMP3,57,64,87,225,78,90,94,64,93,69
PHF10,2,3,2,5,4,1,2,0,6,1
VPS53,5,8,18,36,5,17,17,18,21,7
PGM2,13,7,6,27,9,12,8,6,13,3
FGGY,0,0,0,0,0,1,0,0,0,0
QRSL1,14,10,11,16,13,26,26,14,25,20
ZNF654,36,25,19,64,25,19,25,26,38,21
CWF19L1,8,10,8,13,16,8,12,5,18,5
TMEM140,0,0,0,0,0,0,0,0,0,0
UBE2W,187,180,146,515,204,206,263,205,252,158
RBM41,16,32,23,66,33,30,45,34,48,20
C4orf19,0,0,0,0,0,0,0,0,0,0
RHOT1,8,14,7,25,8,6,8,4,8,7
BRF2,14,20,17,53,23,19,29,9,35,18
PPP6R3,50,49,27,100,37,43,68,32,69,42
UEVLD,2,9,2,9,7,2,7,8,2,3
FBXW7,25,37,35,125,35,46,50,39,53,31
KLHL26,4,5,15,8,4,6,2,6,5,4
TBC1D19,0,2,0,2,0,1,0,0,0,0
CCDC91,2,2,4,7,1,3,2,3,4,1
RNF121,4,4,4,11,8,5,6,3,3,7
BRIX1,37,31,35,89,39,42,44,42,54,32
PI4K2B,25,23,12,50,23,22,35,25,22,13
DDX19A,17,16,23,45,27,17,23,21,29,16
ZNF444,2,4,2,6,3,2,8,8,1,1
RFK,11,13,9,31,13,8,16,11,15,14
TMEM144,2,2,0,3,1,2,1,2,2,0
SLC29A3,3,0,5,11,6,3,4,2,4,6
RSAD1,10,10,25,27,13,8,12,8,11,8
AP5S1,5,4,13,15,6,3,12,9,10,4
TMA16,8,13,3,26,8,14,13,14,17,7
MIS18BP1,10,11,2,29,14,10,14,9,15,5
C5orf22,40,31,23,93,25,30,40,35,39,21
ABCF3,2,2,3,12,2,2,9,1,4,3
UFSP2,3,1,4,17,6,1,9,3,1,3
AGPAT5,91,62,59,245,73,87,85,86,95,51
LIN7C,51,58,39,163,50,30,68,60,69,42
RNLS,0,0,0,0,0,1,0,0,0,0
MNS1,1,0,0,0,0,1,0,1,0,0
BLOC1S4,5,8,26,35,17,7,15,13,7,8
ACER3,37,30,24,104,33,41,45,37,42,25
DRAM1,3,2,1,11,3,1,2,0,4,3
SYNJ2BP,3,4,1,4,6,3,5,2,6,0
SLC39A9,68,73,57,166,60,75,78,72,102,64
NIPSNAP3B,14,12,9,20,8,8,10,8,11,6
FBXL8,1,1,0,0,0,0,0,0,0,0
SHFL,2,2,3,9,1,1,3,3,2,0
WDR33,23,39,26,90,45,38,40,42,48,26
GIMAP5,0,4,1,8,4,4,2,3,1,2
LSG1,26,25,33,65,32,31,34,31,41,21
STRBP,6,3,3,11,6,7,5,4,7,3
SLC35C1,2,7,8,12,8,8,5,5,9,7
PLCXD1,11,13,16,26,7,6,9,20,13,7
ZGRF1,0,0,0,7,2,3,2,3,2,2
TCP11L1,4,3,0,3,5,3,4,4,1,3
ABHD10,20,18,29,52,27,23,31,17,35,25
COPRS,9,7,7,12,12,4,13,4,8,4
LAPTM4B,0,0,0,0,0,0,0,0,0,0
HJURP,11,10,5,17,8,9,7,11,13,3
SLC22A15,17,40,25,54,32,31,54,29,45,24
TBC1D2,0,1,0,3,3,1,1,1,3,1
STYK1,2,1,1,1,3,1,1,0,3,0
PI4K2A,5,10,4,17,4,14,5,8,5,4
TMEM63B,0,0,1,2,1,0,0,2,0,2
IMPACT,14,22,25,67,33,23,20,15,15,9
LGR4,8,12,6,22,14,18,20,18,22,10
PIDD1,0,0,0,2,1,0,0,0,0,1
55370,3,0,2,0,5,1,4,6,4,1
TMCO6,2,4,1,7,0,1,1,1,2,3
LRRC59,71,91,98,258,128,105,125,85,113,63
MCM10,26,39,27,66,40,42,40,41,46,29
NCBP3,27,28,44,89,38,29,58,46,43,28
ZNF331,0,0,1,0,0,1,2,0,0,0
GPALPP1,7,13,12,27,7,14,8,7,11,9
YOD1,35,36,29,91,35,40,41,51,34,23
AP1AR,10,15,5,13,6,10,6,9,18,2
STRADB,4,4,3,5,2,1,3,3,5,1
DHRS4-AS1,10,11,12,36,8,14,9,9,18,9
CSGALNACT2,39,48,41,130,45,62,94,49,99,52
DNAJA4,14,13,15,21,10,16,14,9,23,7
NDUFAF7,2,2,3,21,9,3,9,3,8,1
PARL,7,6,19,34,8,7,15,8,14,5
ETNK1,36,39,18,81,35,48,39,31,48,23
HES6,18,21,14,35,10,17,17,20,14,5
NOP10,29,35,53,128,48,53,62,41,51,53
MACROH2A2,0,0,0,0,0,0,0,0,0,0
SLC35E3,2,0,2,2,1,0,1,1,2,0
BATF3,0,0,0,0,0,1,2,1,0,1
SMPD3,0,0,0,0,0,0,0,0,0,0
ELAC1,3,0,1,14,5,5,7,5,4,4
TRIM36,6,2,9,7,3,6,6,9,14,4
DHTKD1,5,10,11,28,9,7,20,11,14,8
FEM1A,46,61,104,126,89,63,83,68,73,44
PIP4P2,5,4,3,6,2,4,5,2,1,4
MAML3,2,2,3,4,4,4,0,1,0,7
CDCA7L,22,17,21,45,26,14,17,13,22,11
IL17RB,0,0,0,0,0,0,0,0,0,0
RBM38,13,9,13,36,14,10,13,9,14,10
ENOSF1,18,24,22,54,29,31,32,40,40,25
PLXNA3,0,1,1,2,1,0,1,0,0,0
HAUS7,4,3,4,10,3,1,4,6,4,2
ZNF821,0,0,1,3,1,0,3,1,1,2
GALNT10,3,7,1,5,3,3,5,3,8,4
CNOT11,11,13,16,34,14,25,41,20,26,17
FOXRED1,1,3,0,3,0,1,2,3,3,0
CDV3,181,179,209,475,239,218,250,210,271,142
NAGK,0,0,1,2,0,0,0,0,0,0
SUPT20H,5,8,1,10,3,4,4,4,16,2
KIF27,1,1,0,0,0,0,0,0,1,3
UBE2Q1,20,28,36,69,26,23,33,23,26,21
MED29,23,19,36,73,40,30,51,39,57,27
BMP2K,0,0,0,10,4,4,5,2,7,0
VEZT,6,4,2,19,6,6,13,12,12,5
GOLGA2P5,1,1,0,5,1,2,2,0,2,0
OTUD5,5,10,8,10,6,5,10,8,19,5
ZCCHC8,12,15,25,27,26,20,10,9,16,11
RNPC3,3,0,0,15,1,3,1,2,14,2
DDX60,0,0,0,0,0,0,1,0,0,0
CDKN2AIP,84,97,106,294,138,133,141,110,166,85
TENT5A,21,28,23,61,10,11,16,19,17,15
KIF21A,0,0,0,0,0,0,0,0,0,0
ANKRD10,59,66,68,168,71,88,111,72,112,68
ZNF280C,7,11,14,42,23,6,17,17,30,16
VPS50,1,6,4,12,6,3,3,1,5,6
OTUB1,5,3,1,7,5,0,5,4,6,0
FERMT1,0,0,0,0,0,0,0,0,0,0
MTMR8,0,0,0,0,0,2,0,0,0,0
KIF16B,2,0,1,4,3,1,2,1,0,2
PRR5,0,1,0,1,1,0,1,1,3,0
TASP1,3,2,6,7,4,2,8,3,2,3
DOCK10,13,16,12,19,9,26,10,15,19,5
TRMT1,0,0,1,1,1,0,0,0,2,5
TTC27,3,0,3,1,0,1,2,1,1,1
THUMPD1,109,123,106,343,118,110,121,95,150,75
POMGNT1,2,3,1,2,0,3,1,2,1,0
ZDHHC7,13,22,20,44,27,22,16,19,29,20
AMBRA1,4,5,20,16,12,4,10,3,12,9
SMPD4,11,12,27,41,29,28,25,27,32,18
ZNF407,1,3,1,4,3,7,5,3,4,1
PNRC2,198,242,177,670,265,294,323,276,351,193
SLC39A4,4,7,8,12,4,4,12,14,5,1
LRRC40,5,7,3,13,8,4,0,3,6,4
G2E3,15,18,13,55,17,17,18,11,29,9
TBC1D22B,5,8,9,7,17,8,6,8,8,4
KRBOX4,6,8,3,4,6,1,4,4,2,1
DEPDC1,19,27,10,52,28,20,43,25,34,21
CHD7,5,13,7,11,8,7,10,10,7,7
FLVCR2,3,5,13,16,15,6,7,10,11,4
BTBD2,2,2,7,9,2,8,11,6,10,8
OSGEP,2,2,5,10,3,6,2,3,5,7
LYAR,4,2,5,10,2,7,3,7,2,3
RAB20,3,7,2,5,1,8,11,4,12,10
PIGV,1,2,3,3,5,3,1,0,4,2
NHP2,6,4,3,13,8,10,13,7,9,4
SLC48A1,15,24,17,33,16,15,20,22,25,9
TMEM127,22,37,40,58,29,31,30,35,36,22
NLRP2,0,0,0,0,0,1,0,0,0,0
INTS8,0,3,4,6,5,2,10,5,1,1
ZNF692,0,1,2,10,0,3,3,1,1,2
RNF126,15,14,16,33,12,10,18,16,21,8
ZNF416,0,0,3,3,5,4,7,1,3,1
PRPF40A,84,93,74,263,70,88,124,100,137,66
DDX27,4,5,2,9,2,2,3,4,15,2
HIF1AN,13,28,24,64,24,27,34,23,38,23
ZNF446,0,0,0,0,2,1,1,2,0,0
CDC37L1,21,10,10,23,22,20,22,12,23,6
URGCP,2,7,10,13,7,6,5,4,8,3
NPLOC4,12,15,20,40,12,24,26,20,25,20
DENND4C,9,7,5,18,6,17,17,22,11,6
GPATCH2L,85,115,80,274,100,154,173,125,184,86
MFN1,13,10,7,18,5,12,8,10,9,8
PEX26,11,7,9,39,8,11,9,10,8,6
PPP4R3A,34,48,54,158,45,43,59,58,51,30
SLC30A6,16,20,15,47,14,18,24,21,25,16
IWS1,6,7,14,19,7,6,10,4,9,1
RUFY2,9,15,25,24,13,16,20,15,17,1
SCYL2,18,9,8,43,27,30,24,23,40,16
KANSL3,25,34,37,43,23,39,33,42,58,28
RABL6,1,1,1,11,5,2,4,4,2,1
MREG,0,4,4,2,2,4,4,2,2,1
TRMU,1,0,2,5,7,2,4,3,3,2
YEATS2,24,22,37,54,23,23,27,20,25,9
PACS1,1,0,0,0,0,0,0,0,1,0
FRMD4A,1,0,0,0,0,0,0,0,0,0
LUC7L,6,2,5,11,3,4,9,6,11,9
NSUN5,2,7,8,11,13,9,3,4,11,5
RBM22,36,55,32,115,52,50,63,49,88,40
VAC14,1,1,1,0,0,3,0,1,2,0
RADIL,1,0,0,0,0,0,2,0,1,0
IARS2,7,5,7,24,4,8,12,6,9,5
MAP7D1,6,4,9,12,4,4,14,6,10,6
ARHGEF40,0,4,0,3,2,7,2,0,4,2
YJU2,9,2,7,13,4,5,9,5,8,4
POLR3B,5,13,6,12,6,11,14,5,10,3
CCDC88A,47,39,22,113,35,34,41,44,57,27
IPO9,27,33,40,84,48,47,53,42,78,32
NDC1,59,51,55,161,81,50,71,42,90,37
NECAP2,12,11,9,37,21,14,20,18,29,7
KBTBD4,4,8,12,20,8,7,7,6,10,2
FAR2,3,4,0,1,0,3,3,1,2,0
ZNF334,12,10,4,43,11,12,18,16,19,10
DOK4,0,0,1,1,4,1,0,0,3,0
LMBR1L,0,1,4,6,3,2,1,0,4,1
WDR11,0,4,2,14,2,3,4,1,3,3
POLR3E,18,15,12,38,14,24,16,14,23,4
SLF2,29,32,13,79,22,25,32,21,40,25
TSR1,50,68,91,178,88,60,75,55,81,42
IQCC,8,4,3,19,4,5,9,2,9,3
CEP72,0,1,4,3,3,1,1,1,3,0
ASF1B,8,10,17,52,22,20,18,18,15,15
INTS13,2,0,6,5,4,0,5,2,2,0
BTBD7,51,62,57,162,65,59,83,71,74,37
N4BP2,11,9,9,41,12,12,14,9,22,6
ATF7IP,48,57,27,96,53,70,64,58,69,29
FAM222B,2,11,21,13,12,8,9,17,20,7
C1orf112,1,2,0,3,0,2,3,2,1,2
HHAT,0,0,0,0,0,1,0,1,1,0
ZFP64,3,3,0,3,4,1,1,6,4,1
DNAJC11,15,13,5,43,18,19,22,8,18,6
VPS35,18,20,9,50,13,22,25,20,25,15
ARFGAP1,2,3,5,19,4,6,12,3,7,4
NAXD,31,23,36,77,38,32,44,31,35,22
ENAH,8,10,8,13,1,8,7,1,8,1
EDEM2,6,12,11,25,17,12,11,16,17,12
CHFR,8,5,4,8,4,3,0,5,1,3
COA1,13,14,23,58,20,25,34,18,26,4
AP5M1,11,8,7,24,23,14,16,15,19,7
NUP133,2,4,5,10,4,7,8,8,13,6
CNDP2,7,6,14,31,11,16,14,14,15,5
CCAR1,12,9,6,33,14,10,14,7,8,12
AGK,0,0,3,7,0,1,0,1,1,0
TMEM184C,12,25,13,32,14,15,15,16,23,11
SEPTIN11,20,27,20,70,31,20,20,25,39,11
TMEM30A,36,38,35,89,48,35,54,50,45,27
CDK5RAP2,13,18,26,62,17,20,30,25,34,19
INTS9,14,20,30,51,27,13,12,19,26,10
RCOR3,9,20,12,42,18,21,20,14,24,12
WDR12,5,3,4,12,3,9,6,7,2,2
DHX32,4,4,6,12,9,6,7,8,4,3
TTC17,18,32,17,50,22,34,37,22,24,21
EXOC1,5,15,7,13,8,6,11,9,9,2
IFT122,0,0,0,1,1,0,1,0,1,0
INAVA,0,0,3,0,1,3,0,0,2,0
H2AJ,4,5,4,10,4,9,9,4,12,5
NGLY1,10,6,15,61,26,5,23,9,16,8
EXOC2,1,5,11,28,9,14,7,9,20,10
PRR11,47,34,48,84,34,49,51,32,40,19
TBC1D23,22,16,5,26,14,26,29,26,20,11
TDP1,12,22,14,39,16,32,24,21,24,10
SAYSD1,2,5,0,5,1,3,9,1,4,1
MBD5,1,0,0,0,0,0,0,0,1,0
ZNF839,1,0,1,0,0,1,0,4,2,0
CFAP44,5,5,5,13,1,13,4,5,5,1
ERMARD,0,0,0,0,0,0,0,0,0,0
RIOK2,15,21,16,44,16,28,30,26,38,19
CMTR2,24,35,19,59,17,20,39,17,33,10
FGD6,3,1,0,12,1,5,3,1,0,0
TXLNG,48,46,30,133,51,57,49,53,62,38
LMBRD1,1,1,4,2,2,1,2,5,2,0
DEPDC1B,6,1,5,19,7,6,5,5,8,3
CSGALNACT1,0,3,1,8,2,1,6,3,5,2
LRIF1,23,19,20,42,19,25,36,20,25,20
MINDY1,0,0,3,0,0,0,1,0,1,0
DDX28,13,14,20,37,14,10,10,9,10,9
PCID2,3,10,11,40,7,16,7,5,8,5
MBNL3,26,30,11,50,17,24,40,27,46,26
METTL2B,7,11,6,33,5,8,20,11,12,7
CACNA2D3,0,0,0,3,1,0,1,1,1,1
DCP1A,34,47,42,95,48,47,72,38,61,42
ADAP2,0,0,0,0,0,0,1,0,0,0
TRERF1,4,12,0,10,2,9,18,12,6,5
FOXJ2,9,12,14,22,19,11,15,10,18,9
SPATA7,1,0,0,0,0,0,0,1,0,0
UTP6,8,12,9,26,10,7,12,9,9,9
BDP1,38,34,19,74,23,51,55,50,47,24
KDM3A,14,12,10,44,22,19,24,17,21,15
RNF130,0,1,0,1,2,1,0,1,0,0
VPS11,3,2,7,16,4,2,7,6,5,2
PAG1,80,93,69,220,88,92,148,110,137,70
PECR,2,2,0,0,1,0,1,1,1,0
DCAF6,1,1,3,11,0,3,4,4,2,4
SELENOS,8,14,22,37,15,9,10,14,21,8
GLT8D1,6,6,7,27,5,10,5,7,8,2
EMC3,3,2,1,7,11,1,4,4,7,3
CAND1,25,16,24,46,18,22,30,28,26,21
UBAP2,15,22,12,39,15,15,20,13,24,11
CENPJ,61,52,59,163,66,73,81,64,90,45
EAPP,19,16,34,68,29,35,35,22,42,15
CENPN,25,34,40,56,29,41,36,33,44,23
EAF2,4,1,0,2,2,1,1,0,1,0
WWC3,3,3,4,12,8,0,8,7,4,0
ARHGAP15,3,3,1,10,5,3,8,2,3,1
PPP2R2D,7,6,21,37,20,12,24,23,25,15
BRK1,18,24,25,76,30,25,41,22,26,15
ITFG2,2,3,9,23,8,3,5,2,8,2
CISD1,12,11,8,21,10,15,15,15,12,6
PLGRKT,1,0,1,0,0,0,0,1,0,1
USE1,2,4,0,2,0,1,0,2,0,1
PSENEN,1,5,4,9,3,6,7,7,6,3
TEX2,11,24,22,45,25,24,30,16,20,13
IDI2-AS1,0,0,0,2,3,2,1,4,0,0
ZC3H15,48,50,33,129,47,54,62,50,64,30
ACOT13,4,4,14,10,9,10,13,7,16,7
KIZ,0,0,0,0,0,0,0,0,1,1
TMEM165,9,10,7,19,7,9,7,9,8,6
BEX1,5,5,10,24,9,12,12,7,11,8
ACTR10,1,1,2,2,4,2,2,3,6,0
DBNDD2,5,1,8,12,2,4,7,8,6,1
ECHDC1,41,50,53,120,62,55,88,47,74,44
TMEM126B,2,4,5,6,3,2,2,4,7,2
HDAC8,5,3,3,9,1,9,6,3,3,1
ASH1L,25,46,33,79,35,49,54,37,79,43
CBWD1,1,1,2,11,3,0,1,2,2,1
PBK,15,5,4,25,5,11,21,11,12,9
GSDMB,1,0,0,0,0,0,0,0,0,0
