,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2
SEC61G,58,30,53,57,18,35,15,7,25,1,4,17,10,4
PES1,20,37,10,20,4,15,35,20,54,0,1,7,3,3
TGDS,14,1,0,10,8,10,2,1,2,0,0,5,0,0
LEPROTL1,36,34,40,49,21,37,29,30,49,0,3,1,3,1
CBX7,6,10,16,0,4,0,0,0,7,9,10,17,4,8
MACF1,83,49,50,58,56,89,21,39,64,24,32,48,72,16
ZFYVE26,5,17,0,3,4,0,5,0,0,0,0,0,0,0
TMEM131,1,5,2,1,0,12,2,2,6,4,0,5,4,1
BICRAL,46,44,33,46,33,50,21,18,71,11,9,86,27,24
LRRC8B,21,15,25,8,5,27,11,1,11,3,4,5,2,6
POFUT1,16,17,5,10,7,20,4,2,19,3,0,10,1,5
KCTD2,25,21,12,1,4,20,4,4,14,0,3,0,4,0
NUP188,22,11,4,12,3,12,3,34,21,6,1,14,9,6
SUZ12,170,152,100,91,90,130,65,73,113,40,31,103,43,42
SCRIB,1,8,8,10,3,7,7,15,0,0,0,0,1,0
SPIDR,6,4,10,0,0,8,2,2,3,1,0,0,0,4
MORC3,9,10,5,26,10,24,10,1,7,1,0,3,9,0
SLC39A14,30,18,23,12,16,20,5,2,8,14,13,13,0,0
MTREX,2,15,11,17,3,2,5,1,0,0,2,0,2,1
R3HDM1,8,0,10,7,8,9,8,0,12,7,7,2,4,10
ANP32D,0,1,0,0,0,0,0,0,0,0,0,0,0,2
RPL13A,303,221,225,341,323,354,241,108,338,26,58,251,128,156
KAT6B,43,37,45,26,20,40,23,12,30,19,39,29,64,21
CABIN1,2,0,1,5,2,14,3,0,5,4,6,3,3,0
SRRM2,117,49,64,105,88,92,54,23,110,17,19,56,68,60
ARHGAP45,77,26,52,37,23,39,29,23,84,2,1,13,9,14
ACAP2,23,7,13,15,1,7,1,3,17,10,6,7,12,1
ZNF281,109,87,71,89,91,123,71,43,84,4,7,36,13,8
CLCF1,14,12,0,0,0,3,0,0,15,0,5,0,0,0
NNT,19,25,22,13,13,9,12,2,14,0,3,5,5,0
MMD,10,8,0,8,5,6,4,7,10,20,0,0,0,0
PIK3R5,40,42,29,31,13,14,32,23,15,3,38,10,34,20
TNPO3,167,141,140,139,116,163,93,72,138,65,78,70,80,48
ADAT1,0,3,1,1,0,3,0,2,0,0,4,0,0,4
RBFOX2,6,2,5,10,6,6,3,0,2,0,5,22,11,5
ATP6V0A2,3,11,8,12,6,14,0,2,11,4,5,0,4,0
TTC33,8,9,1,0,0,0,0,0,2,0,0,0,0,0
DNPEP,9,9,6,6,0,3,4,23,8,0,0,4,4,5
PSD4,0,0,3,0,1,0,0,0,0,0,0,0,0,0
CDK20,5,11,1,6,0,0,0,0,0,0,0,0,0,0
PIGN,0,0,4,4,3,0,0,2,8,0,0,1,2,0
SNAPIN,28,22,18,32,13,24,0,18,6,0,0,12,2,4
WBP2,2,10,8,6,5,10,5,7,2,2,0,5,6,6
WBP1,3,3,0,7,6,1,0,0,6,0,0,0,0,0
GTPBP4,91,56,83,69,34,64,70,22,68,0,4,49,22,19
DDAH2,21,17,17,18,8,13,0,0,4,0,0,1,0,0
ZNF346,41,33,15,5,11,15,10,20,22,16,9,3,1,12
ARL2BP,5,3,0,8,4,4,2,3,0,0,0,0,0,1
CDC42EP4,17,3,5,16,2,9,3,4,14,0,0,1,0,0
CCNDBP1,10,13,3,7,11,13,0,5,7,5,1,7,0,0
SMUG1,0,3,1,2,0,9,0,6,0,0,0,0,0,0
TMEM50A,9,7,8,19,1,25,1,0,11,2,0,8,12,9
DDX58,3,0,0,0,0,1,0,3,0,0,0,0,0,0
ELP5,6,1,10,10,4,5,0,3,0,0,0,0,1,0
KLHDC2,22,16,7,17,2,15,7,18,19,0,0,0,0,2
CARHSP1,22,21,33,36,14,30,8,12,16,0,0,2,17,5
PDSS1,21,8,4,5,24,21,11,9,7,0,5,13,4,3
LEMD3,7,7,18,15,5,7,10,0,0,0,4,0,1,0
HEBP2,3,4,5,16,1,11,0,9,8,0,0,0,0,7
ORC6,13,16,17,31,22,33,14,4,9,1,4,11,1,2
ORC3,0,0,0,11,4,0,0,0,1,0,0,0,0,0
OPN3,20,3,8,13,8,4,2,4,0,1,0,0,0,3
ACOT9,2,1,7,2,2,4,0,0,0,0,2,0,7,0
PATZ1,78,84,69,87,36,35,40,50,68,3,4,48,6,31
AMACR,1,13,5,4,3,10,3,0,3,0,0,2,0,1
CORO1C,11,10,10,11,4,14,2,13,4,0,5,6,0,0
DAPK2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD2AP,3,12,0,2,0,1,0,4,0,0,1,0,5,2
MKRN1,45,39,13,15,7,11,13,21,28,0,10,4,6,1
MKRN2,31,10,11,21,17,20,1,5,19,0,3,10,9,1
PHLDA3,22,21,21,40,1,1,10,15,5,0,0,0,0,1
ZMYND8,96,45,39,45,20,36,42,24,55,29,40,56,50,19
SH3BP1,4,7,0,2,5,0,7,12,0,0,1,0,0,0
BACE1,1,0,0,2,5,13,0,0,2,0,0,0,0,3
RUSC1,2,5,2,2,0,6,9,1,0,0,0,0,0,0
FAM89B,0,0,1,0,3,0,0,0,0,0,0,0,0,0
KCNE5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KPNA6,65,49,41,53,30,59,47,22,50,26,42,63,31,26
SSBP2,0,8,0,2,1,3,0,0,0,0,0,0,0,0
NUP62,153,158,71,128,66,119,50,47,167,14,25,42,51,31
RABGAP1,29,8,12,27,6,20,9,8,16,10,12,13,13,12
LRRC6,0,0,3,4,1,3,0,2,0,0,0,0,0,0
HSPBP1,10,30,0,4,0,14,1,4,7,2,5,3,6,6
SNHG1,589,625,500,1070,478,1182,375,361,440,13,29,434,277,234
EDC4,26,11,27,20,25,39,8,14,43,0,4,22,5,0
PPP1R15A,141,131,107,148,98,225,45,55,100,0,0,26,28,13
PLD3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARFIP2,0,7,3,4,15,13,2,4,3,0,0,5,4,7
SSBP3,32,12,6,23,10,33,20,5,8,2,6,17,10,2
POLA2,4,9,0,7,0,5,4,1,6,2,2,0,2,0
PLXNB2,5,0,0,0,0,3,0,2,5,0,6,0,0,0
SLC7A11,12,12,15,0,0,2,7,0,4,9,2,3,2,0
LSM5,23,14,7,26,16,20,14,16,34,0,2,10,10,13
PLA2G15,9,8,7,21,5,13,6,0,6,0,3,7,1,0
ZKSCAN5,17,33,20,29,33,33,16,18,31,0,1,3,1,7
CEMIP2,1,1,0,6,4,9,0,0,8,0,0,0,5,1
STX12,8,2,4,7,16,6,13,0,10,0,2,11,0,0
SGK3,42,25,20,63,44,65,32,4,38,20,34,49,38,32
RAB38,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRKD3,31,5,4,7,0,6,11,1,7,1,0,0,2,10
CADM1,50,33,27,56,47,45,24,11,21,26,27,87,29,59
GABARAPL1,26,22,29,10,4,17,17,3,14,7,0,0,0,0
SHPK,4,8,3,8,1,0,0,8,0,0,0,0,0,0
TMEM245,67,51,33,67,71,56,7,18,32,42,25,72,29,9
EID1,117,53,46,78,22,79,6,25,75,0,0,0,9,19
SDF2L1,93,131,54,71,39,81,86,63,101,2,3,10,55,15
PPIL2,9,1,0,8,9,12,3,7,1,0,0,0,0,0
PITPNB,79,46,28,50,25,48,19,22,48,19,5,22,15,6
PISD,43,36,40,39,39,35,3,4,37,6,7,5,23,12
MAFF,0,10,4,3,2,4,5,1,0,0,2,0,4,0
IL17RA,61,102,59,87,42,90,56,64,121,14,35,29,29,39
FLRT1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FKBP8,0,0,0,0,0,0,0,7,0,0,0,0,0,0
BRD1,32,7,15,24,3,22,24,3,12,6,0,3,9,1
BCL2L13,27,13,28,40,17,40,9,7,7,11,8,22,6,17
MTCH1,19,34,9,33,21,29,33,4,27,1,3,12,15,3
MTCH2,44,37,25,38,14,25,10,42,7,0,0,2,5,1
KIF4A,13,3,8,20,10,9,3,9,22,0,9,2,6,10
EML2,83,73,33,43,16,42,35,41,83,22,23,38,50,31
FTSJ1,4,0,0,3,0,1,1,0,3,0,0,0,0,0
LAMP5,38,73,37,34,20,37,55,27,76,17,15,3,12,0
NAA80,4,1,8,12,11,8,3,7,0,0,0,0,0,0
TFIP11,9,9,4,10,2,1,0,3,9,1,0,0,1,3
PANX1,1,0,6,6,2,3,1,1,0,0,0,7,0,0
CLDN15,22,6,3,1,2,14,5,1,7,0,0,6,6,3
FJX1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRPF6,43,64,35,45,10,40,32,33,29,8,5,7,6,9
ZNF318,14,9,25,20,4,17,10,7,11,4,0,2,0,1
HYPK,18,24,25,44,14,46,9,2,7,0,2,2,1,9
PRPF40B,0,0,0,0,3,0,0,0,0,0,0,8,0,0
TBC1D22A,8,15,23,17,13,8,6,1,14,1,0,12,8,12
CBY1,0,3,0,6,0,1,0,0,0,0,0,0,0,0
SUN2,32,13,32,21,11,17,14,7,21,1,6,16,6,4
DSTYK,26,49,14,18,16,33,18,10,25,5,20,14,16,13
RAB3GAP2,27,18,12,32,23,45,27,13,26,32,31,41,51,13
RAD54B,44,32,13,28,9,23,19,7,20,5,5,7,0,6
CIZ1,6,0,11,2,2,0,2,0,3,2,3,0,0,0
FBXO7,56,43,32,25,16,31,21,6,56,2,3,15,22,5
PGLS,7,0,0,0,1,10,0,0,0,0,0,3,0,0
QPCT,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BRI3,13,13,6,19,11,13,4,14,6,0,0,5,0,0
ZNF324,2,4,15,10,17,12,1,8,4,0,0,0,0,0
SLC39A6,13,9,0,1,0,6,1,0,1,0,0,6,2,0
GCA,9,2,5,0,2,9,0,0,1,0,0,0,0,0
LSM4,51,14,12,18,15,26,0,19,38,2,0,17,2,2
RHBDD3,5,1,0,1,0,1,0,1,0,0,4,0,0,2
TTLL1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SAMM50,2,4,1,2,0,1,8,0,5,0,0,0,4,0
ATXN10,11,14,0,5,18,9,9,8,25,0,0,3,12,8
TNFAIP8,189,85,68,73,44,50,57,28,81,18,25,45,24,15
NOCT,5,4,9,0,2,6,1,0,5,0,0,2,0,0
ARIH1,23,12,11,11,17,23,7,5,13,10,9,6,12,8
MTO1,24,21,22,18,28,22,13,14,26,12,10,21,14,6
DNAJB5,0,1,2,3,1,3,0,0,0,3,0,0,0,0
PRDX5,7,1,3,0,0,0,5,1,4,0,0,0,0,0
BACE2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
TXN2,7,11,9,33,1,12,22,22,13,0,6,7,26,0
TMEM184B,3,2,1,12,2,7,0,0,5,0,2,0,2,0
HECTD1,67,40,59,45,39,64,20,16,42,10,2,55,39,27
NIPBL,37,28,36,27,17,34,16,3,44,15,18,17,27,19
COG4,11,1,6,0,2,4,0,0,4,0,0,0,0,0
METTL7A,21,19,13,3,4,13,1,4,6,0,1,5,6,0
ABTB2,24,17,21,9,27,9,6,22,22,1,2,24,16,10
ASF1A,5,9,1,9,3,5,0,0,0,3,0,0,0,2
MOB4,109,54,62,71,36,46,32,18,43,2,3,28,22,0
YIPF3,4,3,7,0,3,6,1,5,3,0,0,15,0,1
25845,24,24,14,11,8,9,13,15,12,1,0,0,0,1
ANAPC13,21,28,9,1,6,32,4,7,23,0,5,2,11,1
ZNF345,6,2,0,3,1,9,0,0,7,0,0,0,0,0
TECPR1,1,14,0,0,2,1,0,2,0,0,0,8,0,0
ARMC8,15,14,28,20,27,14,20,3,30,21,27,41,32,11
DCAF12,67,52,64,71,37,53,41,30,90,18,21,33,34,29
BRMS1,7,7,5,13,5,16,4,8,7,0,0,0,8,1
USP49,40,14,8,18,5,11,6,7,22,8,1,12,13,0
ABHD14A,6,1,0,0,2,1,0,0,0,0,0,0,0,1
PRKD2,12,1,8,2,3,0,1,3,11,0,3,0,0,0
SUMF2,2,3,0,2,2,0,7,12,2,0,0,2,0,0
NEPRO,17,27,42,24,12,20,27,29,19,1,10,5,9,3
RPL36,11,13,12,11,11,11,2,2,1,0,0,12,2,1
MPC2,5,2,6,3,0,8,15,0,6,0,0,0,0,0
LETMD1,35,19,42,24,34,26,9,8,21,0,0,8,16,6
DCAF13,37,20,17,13,10,15,12,15,11,7,3,0,7,9
TMEM186,50,55,37,36,43,21,34,23,68,0,0,5,13,5
POLR1A,1,0,0,0,2,1,0,0,0,0,1,4,0,1
POC1A,6,24,9,29,19,20,14,7,21,4,0,0,1,1
ZNF473,37,36,24,37,19,31,24,20,32,0,0,11,2,13
PLEKHG4,4,0,0,0,2,0,0,0,0,0,7,0,0,0
EEF1AKMT3,4,1,0,1,0,0,5,0,5,0,0,0,0,0
INTS7,14,1,6,11,10,13,3,0,1,0,1,4,4,10
RNF19A,36,55,39,20,10,27,22,13,12,1,5,0,14,1
RCHY1,20,13,13,2,3,18,8,1,4,0,0,8,7,0
IFFO1,28,9,13,7,13,5,6,2,0,0,0,0,0,1
CCDC28A,10,8,19,11,13,23,5,5,9,1,7,0,9,0
MTHFD1L,30,26,16,32,26,48,23,6,29,2,15,37,32,11
CNOT10,0,6,0,4,0,0,4,0,3,8,0,0,0,6
ANAPC15,11,10,0,7,0,6,0,5,0,0,0,0,0,1
TMEM158,7,5,5,0,8,1,0,9,0,0,0,0,0,1
AHCTF1,66,43,21,87,24,45,38,22,47,13,19,12,23,4
DPCD,2,2,0,1,0,0,0,0,0,0,0,0,0,0
C1orf43,89,47,45,60,56,50,31,14,75,0,8,43,22,17
POT1,5,8,10,11,3,19,17,8,2,3,0,0,7,4
RTTN,8,4,1,0,0,0,0,0,4,0,3,0,0,0
NDUFAF3,6,3,0,8,2,4,0,0,0,0,0,0,0,0
THUMPD3,15,5,4,15,2,1,4,2,13,0,0,6,2,0
NELFB,25,17,24,33,10,18,5,33,50,4,0,0,6,13
ZDHHC5,22,19,13,24,19,12,12,4,52,9,1,6,5,3
ATL3,14,23,19,13,12,11,7,11,35,10,2,12,0,5
ZNF521,105,98,102,119,99,153,99,58,119,53,66,109,90,67
NOL11,301,188,157,183,89,183,100,56,165,10,6,61,47,22
GEMIN5,15,15,6,11,0,6,0,0,9,0,6,8,1,3
PTPN23,0,3,1,0,1,4,15,5,5,1,1,5,0,0
CLIC4,13,10,8,12,5,22,2,8,24,0,5,21,10,2
NIPSNAP3A,21,7,6,9,19,7,3,9,13,0,0,6,0,2
NSL1,22,18,21,71,16,41,17,1,13,5,7,16,17,12
HEATR5A,5,3,11,2,2,2,0,0,1,0,0,3,0,0
SAMHD1,5,1,5,0,0,0,7,0,0,0,0,0,0,0
FAM98A,22,31,21,15,4,14,5,14,4,0,0,7,1,1
TPGS2,10,1,5,6,5,1,0,1,5,0,8,4,0,0
SIN3A,55,38,14,47,25,25,15,23,72,8,5,17,16,0
C20orf194,34,9,19,48,24,43,26,27,20,14,17,29,17,21
ZNF385A,0,1,1,0,0,0,0,0,0,0,0,0,0,0
KBTBD2,44,16,13,18,35,34,9,11,37,0,1,14,6,2
SYF2,37,30,27,44,27,25,19,7,62,3,5,4,19,13
RWDD3,5,9,3,14,5,8,8,0,9,0,0,1,0,1
PNKD,16,1,0,8,2,0,1,3,15,0,0,0,0,0
SEC31B,0,0,3,0,2,3,1,0,0,0,0,0,0,4
PNISR,440,498,374,402,310,401,254,168,291,12,24,200,140,112
KANK2,10,2,4,3,1,2,4,0,4,0,0,0,0,0
ADGRA2,4,6,0,5,1,0,0,0,0,2,1,0,5,0
NUDT13,2,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRMA,50,27,43,37,39,40,13,12,55,41,45,32,21,11
TMEM87A,536,359,406,427,277,451,354,265,475,226,258,393,202,182
C2CD2,5,3,7,0,0,0,4,0,6,0,2,0,0,5
SH2B1,78,66,84,70,19,76,47,33,117,5,20,26,29,14
UNC50,6,5,8,6,1,5,0,3,4,0,0,0,1,0
PARS2,0,0,2,0,0,13,0,0,13,0,0,7,0,0
MMACHC,1,9,4,10,6,0,0,8,1,0,0,0,0,0
TIPARP,7,11,8,17,19,28,3,7,9,2,0,9,1,4
NECAP1,3,3,1,4,4,6,3,2,0,0,0,3,0,0
CHMP2B,18,7,12,24,2,17,3,7,11,0,0,3,0,0
DHRS7B,3,10,1,3,5,11,4,8,0,0,0,0,6,0
AAR2,20,26,13,18,10,31,9,15,55,0,1,11,11,3
DNAH1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NGDN,136,75,134,94,92,87,64,28,127,2,10,39,44,25
HINFP,0,1,0,2,3,6,0,3,5,1,0,0,3,0
ULK3,33,14,33,25,16,34,9,20,8,1,0,21,9,0
HIGD1A,5,7,7,3,9,26,0,5,20,0,0,0,12,7
REXO2,14,0,6,7,0,1,0,4,10,1,0,0,0,0
IBTK,56,24,17,24,18,26,17,9,32,8,2,8,3,8
CLIP3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TBC1D10B,5,12,4,4,3,4,0,0,0,0,0,0,0,0
RNF167,34,29,10,12,5,7,8,7,24,0,0,2,5,0
GORASP2,19,17,18,37,24,25,16,0,7,3,0,12,10,0
C2CD3,11,2,2,2,1,11,0,0,0,4,1,0,5,9
TKFC,0,0,3,0,0,2,0,0,3,0,0,7,4,0
ZZZ3,30,12,8,20,7,27,6,17,24,5,7,18,1,14
NSMF,5,5,2,8,4,10,4,1,0,0,0,2,1,0
RPAP1,2,1,4,7,2,7,2,0,16,0,0,11,21,4
FAM32A,179,183,146,168,86,197,92,82,126,1,11,54,51,55
LRIG1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
UPF2,25,7,28,11,15,18,6,12,10,8,6,5,25,13
LRP10,0,5,0,0,0,0,0,0,0,0,0,0,0,0
PTCD1,20,13,11,17,7,12,11,2,0,0,0,1,0,0
PCDHGA12,8,7,3,1,5,6,0,0,0,1,0,0,0,0
ACOT11,6,5,1,5,4,2,3,0,12,0,1,7,0,6
PLEKHG3,10,10,8,15,2,9,4,10,11,0,6,0,0,1
OSBPL3,19,16,9,7,4,15,0,12,4,0,6,1,7,4
IPCEF1,28,11,15,21,15,14,21,3,11,2,1,18,22,12
GLCE,0,0,0,7,3,6,2,0,0,2,0,0,4,0
ZNF451,112,94,94,146,87,109,72,43,130,9,29,54,55,33
SIPA1L1,0,0,0,0,1,2,3,0,0,0,0,0,1,0
SS18L1,7,1,6,7,0,7,2,0,10,4,0,2,4,0
UBXN7,43,25,22,27,15,12,4,1,15,4,9,16,4,1
LTN1,16,40,10,21,4,6,11,5,24,1,9,14,10,0
ZNF500,7,6,11,5,6,3,5,15,8,9,8,5,0,0
PPP1R16B,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AUTS2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SENP6,107,62,61,76,44,67,59,26,122,15,20,46,27,1
RAB11FIP5,0,1,2,0,0,0,0,0,0,0,0,0,0,0
ANKRD17,21,18,22,32,15,21,0,1,17,2,5,15,18,12
GIGYF2,26,24,23,9,14,34,5,11,6,3,0,14,7,6
APPL1,53,16,31,15,8,23,0,7,32,0,7,6,1,0
HACL1,12,7,4,9,8,10,6,1,0,0,1,9,5,8
DECR2,3,0,1,7,3,6,0,3,9,1,2,0,0,4
LSM14A,32,2,14,34,32,31,4,5,31,2,17,0,12,11
RTL8A,18,18,9,7,18,14,11,5,3,0,0,0,0,0
POLDIP2,8,4,4,13,0,16,1,3,5,0,0,9,7,0
LINC02249,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GGA1,21,18,7,14,21,10,9,13,5,1,0,7,0,0
ABHD12,5,5,3,7,2,6,0,0,6,0,6,0,0,5
HERC4,11,12,19,38,20,14,5,11,5,2,0,23,10,8
TOR1AIP1,15,13,6,10,2,16,2,5,13,0,2,0,9,2
CCDC9,0,0,0,0,1,2,0,0,4,0,0,6,0,0
DCAF4,25,19,35,23,8,20,11,31,24,8,3,0,4,11
CHTOP,29,17,42,68,25,36,34,43,33,0,2,3,11,3
EDRF1,18,1,6,17,3,4,0,4,4,4,1,3,6,0
SZRD1,32,33,13,31,14,15,6,8,30,0,2,9,5,5
WIPI2,42,33,36,33,28,31,32,7,20,3,14,17,13,16
CCDC69,0,0,0,9,0,0,0,5,0,0,1,0,0,0
TANC2,0,3,2,0,1,11,0,0,0,0,0,8,6,0
WSB1,117,81,63,108,43,113,28,12,44,1,0,11,5,3
LDLRAP1,20,22,29,16,18,18,13,13,25,0,0,0,3,0
PRPF31,6,4,3,14,8,12,1,3,25,0,0,5,0,0
EPC2,11,30,13,16,7,26,18,16,22,4,42,14,18,3
TCTN3,5,3,4,5,0,1,0,0,0,0,0,0,0,0
FGFR1OP2,43,38,35,56,39,57,14,23,13,0,0,11,11,3
KIFBP,2,6,2,2,1,6,0,0,0,0,0,0,0,0
GAPVD1,4,11,1,7,1,12,9,10,10,0,7,1,9,0
TRPC4AP,12,9,1,16,5,14,7,4,13,0,3,12,6,0
RALGAPA1P1,12,22,7,11,5,3,9,9,0,3,3,3,0,0
SERBP1,436,575,363,384,169,410,252,299,286,34,64,215,144,113
TES,28,20,15,0,9,14,8,3,6,7,6,10,13,1
ZBTB20,43,55,28,53,44,58,43,17,73,26,17,42,45,41
TTLL3,8,5,4,6,0,8,0,4,0,10,0,0,0,2
TRAF3IP1,1,0,2,0,2,4,5,4,0,0,0,0,0,0
PHF19,23,18,17,2,6,7,9,8,19,1,0,0,0,2
26148,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF658,0,7,1,7,0,3,4,4,3,0,0,1,0,0
RIBC2,3,0,0,0,0,2,0,0,0,0,0,0,0,0
NAT9,0,5,8,1,3,6,1,0,3,0,0,0,0,0
ZNF337,1,2,8,2,0,8,3,0,5,0,0,0,1,0
NOC2L,0,2,0,2,6,1,0,0,1,0,0,0,3,0
RSL1D1,17,11,21,15,8,19,4,3,12,2,0,6,2,3
GIMAP2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
IFT172,1,1,1,0,0,0,0,0,11,0,0,0,0,0
MTG2,4,4,0,1,1,1,0,3,5,0,0,0,0,0
SENP3,2,0,0,0,0,0,3,0,2,0,0,1,0,0
INTS1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM251,9,2,0,5,3,2,0,0,2,0,1,0,0,0
FBXW2,77,47,56,79,60,73,33,30,34,8,4,40,34,27
PTPN22,3,1,0,0,1,0,0,4,3,0,3,0,0,0
GMEB2,35,25,27,27,17,44,30,16,20,7,7,47,20,22
PITPNC1,3,4,6,5,7,4,17,1,8,1,4,1,8,0
FBXL3,27,34,36,23,27,16,2,10,10,0,0,6,1,0
ARL5A,31,28,14,23,22,29,18,25,24,3,0,3,6,0
PHGDH,14,8,4,20,2,4,0,11,0,0,0,0,3,0
STAP1,0,1,0,0,0,4,0,0,5,0,0,0,0,0
B3GAT3,3,7,5,2,2,5,0,0,11,0,0,1,2,8
FBXL6,18,0,4,8,3,13,8,0,4,0,0,2,0,0
FBXL5,21,2,8,0,1,8,14,5,0,3,0,6,6,0
FBXL4,5,7,7,4,8,6,9,2,0,0,3,0,1,0
FAM50B,1,0,2,4,1,5,0,0,5,0,0,0,1,0
PTTG3P,4,2,4,1,0,4,0,6,1,4,2,0,1,7
BLOC1S6,21,15,6,37,3,13,11,0,13,0,2,2,0,0
FBXW8,4,9,0,8,0,7,0,1,0,1,4,11,1,0
FBXO25,19,16,15,12,12,8,2,2,3,3,1,1,0,1
TSPAN17,2,4,0,0,3,0,0,0,1,0,3,0,0,0
FBXO22,6,14,4,0,0,1,3,0,0,0,0,0,0,0
FBXO10,0,2,3,15,5,17,0,0,6,2,0,7,2,0
FBXO9,27,13,16,25,20,21,15,0,25,2,5,4,1,16
FBXO8,0,2,3,5,0,9,5,3,7,0,0,9,0,0
FBXO5,123,44,60,122,64,100,33,5,58,20,11,14,44,10
FBXO4,1,0,2,3,0,1,0,0,2,0,0,0,1,0
FBXO3,5,6,2,3,2,2,0,0,9,0,0,0,0,0
HIBCH,0,3,1,0,0,0,0,0,9,0,1,0,0,0
VPS33B,5,2,18,7,10,6,2,0,0,0,0,3,0,2
TINF2,0,2,9,10,0,2,0,5,0,0,0,0,0,0
SACS,36,19,25,23,28,14,20,11,30,15,12,4,5,1
ERAL1,3,1,0,5,1,1,6,0,1,0,0,0,0,0
ARFGAP3,11,15,3,10,1,9,0,0,8,0,1,0,0,9
MYCBP,5,9,11,12,9,14,0,1,13,0,0,0,5,4
SERGEF,10,1,0,0,0,0,2,0,5,0,0,0,0,2
GBGT1,4,0,5,0,5,0,0,0,3,0,0,0,0,0
GNL3,55,13,26,31,11,28,23,16,34,1,0,5,17,1
FAM162A,2,6,6,6,2,8,0,1,6,0,0,0,1,6
PTPN18,8,19,14,22,13,5,11,6,17,0,0,0,0,0
SEZ6L2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R14B,36,26,31,10,7,10,30,8,37,0,0,9,3,3
NARF,4,4,1,17,4,6,2,0,0,0,0,0,0,0
SLC17A5,24,7,2,6,6,4,4,0,6,3,13,4,8,0
CNNM4,12,3,5,23,16,26,3,4,13,1,9,9,1,4
CNNM3,7,9,7,8,9,6,0,2,14,0,0,0,5,0
MYOF,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CHIC2,16,14,8,3,2,13,0,0,16,0,0,0,0,0
INTS6,44,42,30,31,12,29,6,11,9,6,4,0,22,1
TIMM10B,28,32,19,9,16,36,31,19,40,0,3,7,17,0
TIMM13,84,73,48,34,21,38,56,51,52,0,2,25,14,17
TIMM10,42,21,26,9,11,14,10,7,26,0,1,0,3,0
TIMM9,13,13,15,21,6,18,9,2,17,0,0,0,7,4
TIMM8B,107,143,75,122,50,109,71,37,64,4,1,36,17,15
AGO1,15,7,11,3,6,4,0,2,0,0,0,3,0,0
LATS2,22,28,27,14,11,28,41,13,25,2,8,5,6,3
DAZAP1,190,97,100,115,61,126,80,109,143,29,29,69,78,44
ITGB1BP2,0,0,4,1,1,3,0,0,2,0,0,1,2,2
AATF,4,1,8,6,15,9,11,5,0,16,2,0,6,0
OSTF1,35,25,8,14,12,22,10,6,18,1,3,0,5,0
BSCL2,1,3,9,7,6,7,0,5,1,0,0,5,0,0
CKAP2,26,24,21,34,24,37,16,7,35,1,0,6,7,0
MRPL46,31,34,11,30,21,17,15,17,51,0,0,15,0,8
TBL2,22,19,10,27,12,11,2,13,11,1,0,1,1,0
ELP4,0,2,0,32,10,12,4,0,18,2,2,7,3,0
NUFIP1,6,18,6,1,2,0,3,1,7,3,5,5,7,2
RPS6KC1,17,0,3,6,1,7,0,5,2,0,1,0,2,0
SH3YL1,2,0,0,3,1,3,0,0,4,3,10,6,6,0
SNORD12C,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RNU105C,5,7,1,2,2,0,0,0,6,0,3,0,0,3
SNORD81,5,6,3,10,9,21,14,3,11,0,0,6,4,0
SNORD79,5,4,2,5,0,0,0,0,0,0,0,0,1,0
SNORD102,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD63,3,2,7,9,0,2,4,9,13,1,2,4,1,1
