GENE,VHL_6h,VHL_3h,DMSO_3h,DMSO_6h
DDX49,11.0,8.5,24.0,5.0
ING3,5.5,5.0,29.0,6.5
SGTB,1.5,3.5,24.0,1.0
SPATA6,0.0,0.0,0.0,0.0
EPB41L4B,0.0,0.0,0.0,0.0
DLL4,0.5,0.0,3.5,0.5
EGLN1,31.0,36.0,138.5,22.0
GNB1L,0.0,1.5,1.0,0.0
LZTFL1,4.0,7.5,38.0,6.0
MXRA8,0.0,0.0,0.0,0.0
NDFIP2,1.5,4.0,17.5,3.0
DDX56,8.0,8.5,24.5,6.5
INO80,38.0,65.0,201.5,46.0
CCNJ,21.5,27.0,150.0,32.0
FBXL19,5.5,6.5,19.5,4.0
VSIG10,0.5,2.0,7.0,1.5
ARL15,0.0,0.0,2.5,0.5
PAF1,26.5,34.0,102.5,29.0
PARP14,9.5,9.5,36.5,4.0
HES2,0.0,0.0,0.0,0.0
MAP10,0.5,2.0,10.0,0.5
MINDY2,7.5,15.5,58.5,11.5
PCDHB18P,0.0,0.0,0.0,0.0
TBC1D13,24.0,43.0,98.0,15.0
WDR74,2.0,6.0,7.5,1.5
TMEM106B,1.0,3.0,13.5,2.5
RSBN1,22.5,41.5,179.0,24.0
LRRN3,0.0,0.0,0.0,0.0
CRLS1,3.5,6.0,25.0,3.0
GTPBP2,10.5,26.5,72.0,14.0
CROT,1.0,0.0,0.5,1.0
ZNHIT6,13.0,17.0,90.5,13.0
P4HTM,0.0,0.0,0.5,0.0
RRN3,0.0,0.5,2.0,1.5
PDP1,30.5,25.5,162.5,40.0
GPN2,2.5,10.0,24.0,3.0
MARCHF5,8.0,20.5,62.0,9.5
OTUD4,22.5,42.5,177.0,23.5
TMED9,12.5,26.5,63.5,8.5
SLC35F2,11.0,17.5,62.0,15.0
RAB39A,2.0,3.5,12.0,0.5
MPHOSPH8,3.5,8.5,27.0,6.0
XAF1,108.0,64.5,214.0,60.0
LEPROT,16.5,24.5,87.0,18.5
LY6K,0.0,0.0,0.0,0.0
EPDR1,5.0,7.0,32.0,5.5
FNDC8,0.0,0.0,0.0,0.0
ZNF853,0.0,1.0,2.5,1.0
NUTM2F,0.0,0.0,0.0,0.0
FAM20A,0.0,0.0,0.0,0.0
KLHDC4,1.0,0.5,3.0,0.5
PCSK4,0.0,0.0,1.0,0.0
ZRANB1,15.5,19.5,69.0,13.5
TRIM44,29.0,53.5,218.5,32.5
PPP1R12C,6.5,10.0,23.0,3.5
RNF111,8.5,7.0,34.5,8.0
NSMCE4A,1.5,0.5,2.0,1.0
ALKBH4,7.0,14.0,50.0,12.5
BORCS6,7.0,6.5,16.0,5.0
DNAJB12,33.0,76.0,181.5,21.5
TET2,5.5,17.0,67.0,11.5
KCTD9,19.0,48.0,187.5,21.0
TRPM4,6.0,4.5,14.0,3.5
BNC2,0.0,0.5,2.0,0.0
MED18,6.5,3.0,17.5,2.0
MBTD1,18.5,22.0,94.0,20.0
KLHL24,11.0,12.5,63.0,9.5
HAUS6,21.5,28.5,130.5,21.5
TRIT1,16.0,20.0,86.5,14.5
CNNM2,1.5,1.0,5.5,2.5
AHI1,3.5,4.5,25.5,4.5
ZNF586,4.5,9.0,52.0,5.5
DYM,1.0,1.0,6.0,1.5
SAMD9,5.5,4.5,27.0,4.0
ZNF562,33.5,90.0,432.0,45.5
AFTPH,12.5,7.0,28.5,9.0
KLHL28,4.0,7.5,32.0,3.0
QPCTL,5.5,3.0,13.0,2.5
GATAD2A,33.0,71.0,221.5,42.5
AC090517.4,8.5,13.5,54.5,14.0
ZCCHC10,12.5,19.5,72.5,13.5
NDE1,19.0,37.0,103.0,22.0
ERCC6L,1.0,0.5,4.5,1.5
TRPM7,12.0,22.0,77.0,13.0
SWT1,0.5,0.0,1.0,0.5
GIN1,4.0,3.5,17.5,2.5
BCAS3,0.0,1.0,1.5,0.0
ASPN,0.0,0.0,0.0,0.0
NUP62CL,0.0,0.0,0.0,0.0
VPS13C,5.0,11.0,52.5,6.5
GDAP2,2.0,11.0,54.5,6.0
BSPRY,0.0,0.0,1.0,0.0
WBP1L,20.5,29.5,112.5,26.0
LRRC49,0.0,0.0,0.0,0.0
APTX,16.0,15.5,71.5,10.5
BIVM,1.5,1.0,2.0,0.5
MFSD6,0.0,1.0,0.5,0.0
SYTL2,0.0,0.0,0.0,0.0
ESRP1,0.0,0.0,1.0,0.0
SIDT1,0.5,1.5,1.5,3.0
ARHGEF38,1.0,1.0,3.0,0.0
DEF8,0.5,1.5,2.5,0.5
FBXL12,14.5,35.5,88.0,18.0
ANKRD49,11.0,14.0,53.5,16.0
PAQR5,0.0,0.0,0.0,0.0
WDR55,19.0,27.0,81.5,16.0
TENT5C,25.5,32.5,182.5,48.5
GON4L,3.5,7.5,24.5,4.0
PGPEP1,15.0,36.5,116.5,20.5
ELP6,3.5,2.0,10.0,3.0
SNRK,16.0,36.0,121.0,23.5
CC2D1A,1.5,1.5,5.5,0.0
TOR4A,10.0,16.5,53.5,4.5
GPATCH4,33.5,46.5,117.0,33.0
TMEM214,10.0,19.5,62.5,6.0
TMEM104,10.0,19.0,44.0,7.5
EPS8L1,0.5,0.0,2.5,0.5
QRICH1,18.0,21.5,84.5,17.0
PIGG,1.5,2.0,15.0,1.5
FNBP1L,0.0,0.0,1.0,0.0
CNTLN,5.0,6.5,32.5,6.0
DCAF16,27.0,53.0,247.0,30.0
ZCCHC2,11.5,17.0,66.0,8.0
DPP8,28.0,65.5,229.5,40.5
ST7L,3.0,3.0,6.0,1.0
BCOR,13.0,42.0,131.5,19.5
TEX10,1.0,1.0,2.0,0.5
ANKHD1,1.5,3.0,19.0,1.0
CWC25,51.5,81.0,256.0,63.0
RETSAT,3.0,6.0,19.5,2.5
UHRF1BP1,25.5,33.5,143.0,36.5
NSUN2,50.0,137.0,475.0,59.0
ALKBH5,20.5,28.5,132.0,22.5
INO80D,20.0,47.0,209.0,29.0
NCAPG2,8.0,18.5,98.5,9.5
MTMR10,9.0,17.5,55.5,10.0
RNF43,0.0,0.0,0.0,0.0
SLC66A1,19.0,39.0,75.5,26.0
CASZ1,0.0,0.0,4.5,0.5
PXK,29.0,31.5,106.0,24.0
LAX1,0.0,0.5,1.0,0.0
CDKAL1,3.0,5.5,19.5,4.5
TTC19,27.0,42.0,121.5,25.5
MKS1,1.0,0.0,3.0,1.0
NSD3,8.5,19.5,82.5,6.5
TASOR2,2.0,5.0,12.0,2.0
SPDL1,2.5,1.5,17.0,2.5
SEMA4C,14.5,24.5,74.5,23.0
RPP25,45.5,92.5,194.5,44.5
FOCAD,1.5,0.0,0.0,0.5
YTHDF1,17.5,36.5,116.5,18.5
TMEM260,4.0,7.5,24.0,7.0
CMTM6,23.0,27.0,122.5,21.0
DNAAF5,4.5,5.5,30.5,5.5
DUS2,2.0,1.5,6.5,1.5
CHTF8,23.0,47.0,165.0,23.5
LIME1,1.0,2.0,6.0,0.5
ZSCAN32,16.0,21.0,60.5,13.0
UBE2R2,15.5,27.5,110.5,20.5
CHCHD3,21.0,25.0,90.0,30.5
BPNT2,32.0,64.0,281.0,33.0
TMEM161A,1.0,0.5,3.5,0.5
HAUS4,1.5,0.0,5.0,1.0
TRMT10C,5.5,5.0,32.0,5.5
EXD3,2.0,1.5,8.0,1.5
KANSL2,16.5,27.0,94.5,16.0
DUSP23,2.0,4.5,7.5,1.5
ADPRS,11.5,15.0,36.0,11.0
SOHLH2,0.0,1.5,2.0,1.0
SARS2,3.5,4.0,11.0,1.0
COMMD4,3.0,5.0,7.5,3.5
OCIAD1,3.5,7.5,24.0,6.5
RNF125,9.5,11.5,45.5,14.0
ABITRAM,13.0,18.0,66.0,6.0
SLC41A3,0.5,3.5,7.0,0.0
LPCAT2,1.0,3.5,10.5,4.0
MRPL16,3.0,4.5,24.0,6.0
SDHAF2,10.5,13.5,42.0,11.5
COMMD8,2.5,2.5,9.5,3.5
TRNAU1AP,1.0,2.0,6.0,0.5
ODR4,14.0,21.5,83.5,16.0
FAM120C,10.0,8.5,37.0,7.5
C1orf109,13.0,24.5,63.0,19.0
PARP16,4.5,3.5,17.0,2.0
TXNL4B,12.5,20.0,95.0,11.5
TMEM160,1.0,1.0,0.0,0.0
GEMIN8,0.5,0.5,7.0,1.0
SSH3,4.5,2.0,16.5,2.5
TIPIN,2.0,1.0,11.5,2.0
UCKL1,3.0,6.0,19.0,3.0
C1orf56,0.0,0.0,0.0,0.0
PIGX,10.5,6.5,49.5,6.5
TMEM70,15.0,31.0,103.0,17.5
HPF1,0.0,0.0,1.5,0.0
TTC12,0.0,0.0,0.0,0.0
BANP,4.5,2.0,2.5,1.0
TMEM132A,0.0,0.0,0.0,0.0
INTS11,0.0,1.0,4.0,0.0
THG1L,10.0,10.5,28.0,5.5
C20orf27,11.5,6.5,21.5,5.0
SLC25A38,12.5,21.0,61.5,16.5
SLC35F6,6.0,16.5,57.5,6.0
C2orf42,1.5,2.0,13.5,1.5
NMRK1,0.0,0.0,2.0,0.5
CLN6,10.0,13.0,46.0,10.5
PINX1,12.0,16.5,42.0,9.5
HCFC1R1,2.0,2.0,3.5,0.5
ULK4,1.0,2.0,8.0,0.0
CZIB,5.5,5.0,21.5,4.0
ZNF770,14.5,22.0,109.0,13.0
C1orf159,1.0,2.5,13.0,0.0
ZSCAN2,8.5,12.5,44.0,8.0
GID8,21.5,54.0,195.5,39.5
OXSM,0.0,0.0,3.0,0.0
TESC,4.5,5.5,25.5,3.0
AURKAIP1,2.0,4.0,8.5,0.5
TMCO3,0.0,0.5,1.0,0.0
PAK1IP1,5.0,4.5,9.0,2.0
LAMTOR1,11.5,21.0,51.0,15.5
RMND1,7.0,5.0,10.5,5.0
TRMT61B,0.5,0.5,3.5,0.0
FAM118A,12.5,38.0,95.5,13.5
HERC6,1.5,0.5,0.5,0.0
FAM174C,14.0,17.5,31.0,9.0
PARPBP,2.5,3.5,19.0,4.0
PIH1D1,0.5,1.0,5.0,0.0
PPP2R3C,3.0,9.5,41.0,5.5
MCUB,0.0,0.5,1.0,0.0
STX17,6.0,6.5,31.5,4.5
PRPF39,2.0,2.5,21.0,3.5
MARCHF1,0.5,0.0,1.5,0.5
C14orf119,12.5,18.0,76.5,13.0
TTC38,3.0,1.5,20.0,2.0
PHIP,42.0,52.0,231.5,47.5
BANK1,0.0,0.0,1.0,0.5
TMEM255A,2.0,1.0,3.5,1.0
HEATR3,1.0,1.0,7.0,1.0
C17orf80,10.5,14.5,71.5,12.5
FBXO34,15.0,27.0,91.5,14.0
USP47,14.0,23.0,62.0,16.0
SLC35A5,2.5,3.0,19.5,2.5
FKBP14,2.5,5.0,21.0,3.5
NOL8,56.0,107.5,386.5,41.0
CCDC40,0.0,0.0,0.5,0.0
PTCD3,22.0,53.0,164.0,34.5
CDCA4,23.5,59.0,165.0,52.0
TRMT12,8.0,8.0,42.0,4.0
PLEKHB2,34.5,66.0,233.0,34.0
VPS37C,8.5,11.5,33.0,11.0
REX1BD,4.5,1.0,4.0,1.0
NRDE2,1.0,1.0,4.0,1.0
MRPL20,13.5,21.0,54.5,11.0
ATG16L1,34.5,74.5,196.5,68.0
ZWILCH,7.5,8.0,43.5,9.5
GABPB1-IT1,19.5,34.5,115.0,22.5
WIPI1,0.5,0.0,0.0,0.0
ZCWPW1,0.0,0.0,0.0,0.0
PDPR,45.0,81.0,299.5,65.5
ENOX1,0.0,0.0,0.0,0.0
TMEM248,26.0,41.0,180.0,18.5
DET1,3.5,3.0,19.0,1.5
C9orf40,2.5,2.5,23.5,3.5
RNF31,2.0,1.5,5.0,0.5
55073,7.0,18.5,58.0,9.5
OXR1,2.0,6.0,43.0,8.0
UACA,0.0,0.0,2.0,0.0
TMEM45A,0.0,0.0,0.0,0.0
TAPBPL,0.0,1.0,0.0,0.5
IFT57,0.0,0.0,1.0,0.0
ARGLU1,8.0,12.0,46.0,8.5
KIF26B,0.5,0.0,2.0,0.0
SOBP,0.0,0.5,1.0,0.0
CCDC186,11.0,13.0,56.5,5.0
MED9,13.5,31.0,93.5,24.5
TMEM51,0.0,0.0,0.0,0.0
NTAQ1,10.0,7.5,46.5,8.0
GPATCH1,2.0,1.0,5.0,1.5
SAMD4B,10.5,28.0,110.5,6.5
EBLN2,3.0,3.5,17.5,7.5
WDR70,1.0,0.0,1.5,0.5
DMAC2,20.5,42.5,113.0,25.0
ATG2B,6.5,10.5,33.5,6.5
RALGPS2,0.0,0.0,0.0,0.0
GPATCH2,3.5,9.0,50.5,6.5
SLFN12,0.5,0.0,3.0,0.0
BSDC1,14.0,38.5,101.0,21.0
AGGF1,8.5,5.5,32.0,8.5
MAGOHB,5.5,10.0,43.0,9.0
PLEKHJ1,14.0,18.5,46.0,12.0
DYNC2I1,0.5,1.5,3.0,0.0
XKR8,3.0,3.0,10.5,4.0
ARHGAP17,15.5,24.5,56.0,11.5
TMEM39B,0.5,1.0,3.5,0.5
PRPF38B,24.0,41.5,134.5,33.0
FANCL,4.5,2.0,16.0,2.0
AKIRIN2,13.0,18.0,53.0,13.0
PIWIL2,0.0,0.0,0.0,0.0
CEP192,1.5,0.5,5.0,1.5
HEATR1,15.5,18.5,92.0,16.5
TRIM68,3.0,4.0,17.5,3.5
ANO10,0.0,0.0,0.0,0.0
RBM28,2.0,3.5,20.5,3.5
LARP1B,3.5,8.0,31.0,10.0
SRBD1,0.5,2.0,4.0,1.5
WRAP53,0.0,0.0,0.0,0.0
FIGN,0.0,0.0,0.0,0.0
FAM90A1,0.5,0.0,0.0,0.5
ANKZF1,3.5,1.5,6.5,0.0
ELP3,20.5,23.5,81.5,24.0
HAUS2,11.5,27.0,104.0,19.0
CDCA8,20.5,42.5,147.5,34.5
LRRC8D,6.5,6.5,37.5,2.5
THAP1,12.5,23.0,66.0,20.0
ZDHHC4,0.5,1.0,1.0,0.0
RBM23,14.5,27.5,81.5,15.0
UBR7,17.5,30.0,144.0,20.5
MTPAP,7.0,6.0,33.5,6.0
C19orf73,0.0,1.5,2.0,1.0
TMEM38B,0.5,2.5,6.0,3.0
DALRD3,0.5,1.0,5.0,1.0
SDAD1,9.5,6.5,50.5,9.0
MSTO1,5.5,11.0,33.5,4.5
ARMC1,19.0,23.5,114.5,19.5
DARS2,3.0,3.5,9.5,5.5
RFWD3,51.5,84.5,354.5,90.0
ARHGEF10L,0.5,1.5,5.5,2.0
TMEM33,20.5,39.5,182.0,23.5
PNPO,4.0,7.5,29.5,5.5
SHQ1,5.5,7.0,33.5,4.0
CEP55,4.0,4.5,29.0,2.5
CENPQ,3.0,3.5,35.0,2.0
MSL2,72.5,108.5,412.0,92.5
MRPS18A,8.5,9.5,22.0,6.0
PRMT6,19.0,40.5,128.5,17.5
TBCCD1,1.5,2.5,10.0,2.0
DNAAF2,0.5,0.0,3.0,0.5
MRPS10,21.0,24.5,103.5,25.0
INTS10,3.0,8.5,20.0,4.5
KLHL11,10.5,23.5,121.5,17.5
SEC61A2,3.5,4.0,12.5,4.5
RMDN3,5.0,7.0,28.5,6.0
MRM3,3.0,9.0,24.5,6.0
SMG8,2.0,3.5,6.5,4.0
RNF220,9.0,33.5,105.0,17.0
RIF1,12.5,12.5,71.0,8.5
DZANK1,1.5,1.5,2.5,0.0
SLC25A36,28.5,57.5,248.0,34.5
VPS13D,7.0,10.5,32.0,12.5
RIC8B,5.5,13.0,32.0,8.5
NADSYN1,0.0,0.0,1.0,0.5
DNAJC17,0.0,0.5,1.0,0.0
PBRM1,16.0,35.5,111.0,16.5
EVA1B,0.0,0.0,0.0,0.0
RESF1,27.5,22.0,77.5,25.0
RPRD1A,6.0,8.5,39.5,3.5
APPL2,3.0,4.5,16.5,2.5
55199,2.5,1.5,8.0,2.0
PLEKHG6,0.0,0.0,0.0,0.0
MAP1S,5.5,2.5,5.0,1.5
LGI2,0.0,0.0,0.0,0.0
GOLPH3L,7.0,10.5,38.5,6.0
ZNF532,7.5,23.5,47.0,10.5
SBNO1,37.0,69.0,263.0,46.0
ARL8B,28.0,39.0,164.0,26.5
DCUN1D2,4.0,5.0,30.0,2.5
SETD5,37.0,61.5,210.0,43.0
ATAD3A,4.0,14.0,24.5,2.5
BBS7,0.5,0.0,4.5,0.0
RCBTB1,2.0,2.5,9.0,0.5
FANCI,2.5,7.5,24.0,6.5
NKAPD1,24.5,39.5,153.0,25.5
TMLHE,0.0,0.0,0.0,0.0
EXD2,1.5,3.5,12.5,2.0
MACO1,7.5,11.5,29.5,7.5
LRRC20,1.0,0.5,6.5,0.0
TRIM62,4.0,6.0,19.5,1.5
RAVER2,0.0,0.0,1.5,0.0
NAT10,10.0,19.5,59.5,14.0
LRRC1,1.5,1.0,5.0,0.5
PANK4,1.5,1.5,7.0,1.0
USP40,8.0,10.0,30.5,6.5
MOB1A,38.5,95.5,360.0,49.0
SMU1,6.5,10.5,34.5,5.0
UBA6,5.5,11.0,51.0,9.5
SLC38A7,6.5,8.0,35.0,5.5
OGFOD1,10.0,13.0,60.5,10.5
STEAP3,1.0,3.0,10.5,0.0
KIRREL1,0.0,0.0,0.0,0.0
UQCC1,6.5,4.5,22.5,4.5
CCDC25,24.5,29.5,106.5,28.0
NEIL3,0.5,2.5,10.0,1.5
PACC1,12.0,16.0,52.0,16.0
YY1AP1,33.5,92.0,222.5,43.5
ELP2,0.0,1.5,3.5,0.5
PCMTD2,2.5,7.0,32.0,9.5
ASXL2,15.0,40.0,176.0,18.0
TYW1,11.0,11.0,41.5,15.0
TMEM39A,33.0,67.0,261.5,32.5
WDR41,1.5,2.0,15.5,2.0
ADI1,6.0,7.0,31.0,7.5
MRGBP,14.5,26.5,75.5,18.0
THNSL2,0.0,0.0,0.0,0.0
CFAP94,0.0,0.0,0.0,0.0
TMEM143,3.5,3.5,8.0,3.0
MAP11,2.5,4.0,9.5,4.0
TMEM19,3.0,1.0,9.0,0.5
PSPC1,9.5,16.0,59.0,5.5
NUDT15,3.0,8.5,40.0,7.5
IMP3,36.0,59.0,159.0,48.0
PHF10,3.0,3.0,15.5,4.5
VPS53,16.0,27.5,83.5,17.5
PGM2,1.5,3.5,16.5,3.0
FGGY,0.0,0.0,0.0,0.0
QRSL1,2.0,7.0,22.5,3.5
ZNF654,8.5,21.0,65.0,14.0
CWF19L1,5.5,10.5,28.5,7.5
TMEM140,0.5,0.0,0.0,0.0
UBE2W,51.0,87.0,340.5,45.5
RBM41,12.0,21.0,98.5,14.0
C4orf19,0.0,0.0,0.0,0.0
RHOT1,2.5,1.5,14.5,3.5
BRF2,15.5,24.5,52.0,28.0
PPP6R3,13.0,18.5,114.0,20.0
UEVLD,0.5,1.5,11.5,2.0
FBXW7,20.5,41.5,147.0,27.5
KLHL26,11.5,11.0,50.5,12.0
TBC1D19,0.0,0.0,0.0,0.0
CCDC91,0.0,0.5,5.5,2.0
RNF121,2.5,6.0,19.5,3.0
BRIX1,10.5,13.5,55.5,12.0
PI4K2B,4.5,4.5,32.0,7.5
OLAH,0.0,0.0,0.0,0.0
SPTLC3,0.0,0.0,0.5,0.0
DDX19A,19.5,24.5,95.0,13.5
ZNF444,6.0,8.0,24.0,3.0
RFK,2.0,3.0,10.0,2.5
TMEM144,0.0,0.0,0.0,0.0
SLC29A3,7.0,12.0,24.5,5.5
RSAD1,11.0,12.0,42.0,13.0
AP5S1,11.5,7.0,23.5,8.5
TMA16,1.5,2.5,17.0,1.0
MIS18BP1,3.0,6.0,26.5,4.0
TMEM74B,0.0,0.0,0.0,0.0
C5orf22,12.5,17.5,89.0,13.0
ABCF3,5.5,8.5,18.0,2.0
UFSP2,1.5,2.5,9.0,0.5
AGPAT5,25.5,31.0,144.5,24.0
LIN7C,14.0,22.0,127.0,11.0
RNLS,0.0,0.0,0.5,0.0
MNS1,0.5,0.0,0.5,0.5
BLOC1S4,17.0,14.5,59.0,19.5
ACER3,11.5,18.5,82.0,16.0
DRAM1,0.5,1.0,6.0,0.5
SYNJ2BP,0.0,0.0,0.5,0.0
SLC39A9,23.5,45.5,194.5,32.5
NIPSNAP3B,4.0,9.0,12.5,6.5
FBXL8,0.5,1.0,0.0,0.0
SHFL,6.0,4.5,20.5,4.5
55338,0.0,0.0,0.0,0.0
WDR33,12.0,24.0,100.0,13.5
GIMAP5,0.5,0.0,2.5,0.5
LSG1,28.0,47.5,146.0,33.0
STRBP,4.0,6.0,23.5,4.5
SLC35C1,5.5,12.0,52.5,5.5
PLCXD1,17.0,25.0,99.5,21.5
ZGRF1,0.0,1.0,4.5,1.0
TCP11L1,0.5,0.0,10.0,0.0
ABHD10,11.0,11.5,52.0,14.5
COPRS,4.5,5.5,19.0,5.0
LAPTM4B,0.0,0.5,2.0,0.5
HJURP,3.0,4.5,28.0,7.5
SLC22A15,14.5,13.0,55.0,24.5
TBC1D2,3.0,1.5,4.0,1.5
STYK1,0.0,0.0,6.0,1.0
PI4K2A,9.5,13.5,33.5,8.0
TMEM63B,1.0,1.5,4.0,0.5
IMPACT,6.0,6.5,25.5,8.0
LGR4,0.5,0.5,2.0,0.0
PIDD1,1.5,0.0,1.5,0.0
55370,0.0,2.0,9.0,0.5
TMCO6,0.5,1.5,1.5,0.0
LRRC59,39.5,114.0,354.5,65.5
MCM10,6.0,6.5,32.5,8.0
NCBP3,23.0,42.5,169.0,19.0
ZNF331,1.5,5.0,13.5,3.0
SIRPG,0.0,0.0,2.0,0.0
GPALPP1,0.5,2.0,10.0,1.0
YOD1,29.0,58.0,274.0,43.0
AP1AR,2.0,2.0,12.0,2.5
STRADB,0.0,0.0,0.5,0.0
DHRS4-AS1,9.0,3.5,29.5,4.0
CSGALNACT2,24.5,33.0,119.0,29.0
DNAJA4,0.0,0.0,0.0,0.0
NDUFAF7,2.5,2.5,13.0,1.0
PARL,7.0,10.0,25.5,8.0
ETNK1,7.5,16.5,67.0,9.0
CHST12,0.5,0.0,1.5,0.0
HES6,10.5,15.5,34.5,15.5
TNFRSF19,0.0,0.0,0.0,0.0
NOP10,7.0,18.5,43.5,16.0
SLC35E3,1.0,3.0,4.0,1.0
BATF3,0.5,1.0,1.0,0.0
DDX43,0.0,0.0,0.0,0.0
SMPD3,0.5,2.0,3.5,1.0
ELAC1,2.0,1.0,8.5,1.0
TRIM36,0.0,2.5,16.0,2.0
DHTKD1,5.0,4.5,16.0,2.5
FEM1A,62.0,165.5,398.0,92.0
PIP4P2,0.0,0.0,0.0,0.0
MAML3,6.0,17.5,59.0,5.5
CDCA7L,11.5,11.5,49.5,9.5
KCNQ1DN,0.0,0.0,0.0,0.0
IL17RB,0.0,0.0,0.0,0.0
RBM38,21.0,47.0,172.5,33.5
SOX6,0.0,0.0,0.0,0.0
ENOSF1,11.0,16.5,72.5,12.5
PLXNA3,0.0,1.5,3.5,0.0
HAUS7,1.5,6.5,18.5,3.5
CDC42BPG,0.0,0.0,0.5,0.0
ZNF821,0.5,0.5,3.5,1.0
GALNT10,8.5,11.0,37.0,5.5
CNOT11,12.5,17.5,60.5,10.5
FOXRED1,1.0,4.0,4.0,0.5
CDV3,157.5,309.0,1008.0,156.5
STAB2,0.0,0.0,0.0,0.0
NAGK,0.0,0.5,1.5,0.0
SUPT20H,5.5,4.0,16.5,6.0
KIF27,0.5,0.5,0.0,0.5
UBE2Q1,23.5,32.5,115.0,27.5
MED29,38.0,68.5,202.5,37.0
BMP2K,0.0,1.5,10.0,0.5
VEZT,2.5,4.0,9.5,4.0
GOLGA2P5,0.0,2.0,7.5,1.5
OTUD5,8.0,13.5,32.0,2.5
ZCCHC8,7.5,8.5,39.0,9.5
RNPC3,0.5,1.5,7.0,0.5
DDX60,0.0,0.0,0.5,0.0
CDKN2AIP,42.5,80.0,250.5,62.5
TENT5A,18.5,6.0,48.5,17.0
KIF21A,0.5,0.0,2.0,0.0
ANKRD10,6.0,23.5,84.0,15.0
ZNF280C,3.5,9.5,37.5,5.0
VPS50,1.5,1.0,7.0,2.0
OTUB1,1.5,9.5,16.0,6.0
FERMT1,0.5,2.5,2.5,1.5
MTMR8,0.0,0.0,1.0,0.0
KIF16B,0.5,1.0,2.5,1.5
PRR5,1.0,2.0,4.5,0.0
TASP1,1.0,1.0,7.5,1.0
DOCK10,14.5,15.5,53.0,16.0
TRMT1,0.0,1.0,0.5,0.5
TTC27,0.0,0.0,0.5,0.0
THUMPD1,49.0,106.0,337.0,53.0
POMGNT1,3.0,3.0,9.0,1.5
ZDHHC7,22.5,43.0,102.5,27.5
AMBRA1,9.0,16.5,47.5,13.0
SMPD4,24.0,55.5,139.5,25.0
ZNF407,2.5,6.0,13.5,2.0
PNRC2,73.0,108.0,430.5,102.0
SLC39A4,6.5,20.5,32.5,7.5
LRRC40,1.5,1.0,12.5,2.0
G2E3,3.0,8.5,36.5,5.5
TBC1D22B,6.5,9.0,33.5,8.5
KRBOX4,1.5,4.0,11.0,1.0
DEPDC1,8.5,10.0,44.5,11.5
CHD7,1.0,6.5,29.5,3.0
FLVCR2,3.5,5.5,22.0,8.0
BTBD2,7.5,15.0,37.5,8.0
OSGEP,2.0,2.5,12.5,1.0
LYAR,1.0,1.0,6.0,1.0
RAB20,8.5,15.0,16.0,5.0
PIGV,2.5,1.0,4.5,0.5
NHP2,5.0,12.5,16.5,5.5
SLC48A1,8.5,12.5,24.0,4.0
BCAS4,0.0,0.0,0.0,0.0
TMEM127,32.0,56.5,212.0,31.0
NLRP2,0.0,0.5,0.0,0.0
INTS8,2.0,2.0,4.0,1.5
ZNF692,2.5,2.5,6.0,2.0
RNF126,16.0,38.5,85.0,17.5
ZNF416,6.5,11.5,29.0,6.0
PRPF40A,27.0,52.0,206.5,37.5
DDX27,3.0,3.0,17.0,4.0
HIF1AN,21.0,35.5,138.0,20.5
ZNF446,0.0,0.5,3.0,1.0
CDC37L1,4.0,3.0,31.5,5.0
URGCP,8.0,13.0,38.5,8.5
NPLOC4,24.5,36.0,133.0,16.5
DENND4C,5.0,11.5,30.0,6.0
GPATCH2L,33.5,73.0,309.5,43.5
MFN1,4.5,8.5,28.0,3.0
PEX26,12.5,18.5,70.5,9.0
PPP4R3A,32.0,54.0,180.5,41.5
NBPF1,0.0,0.0,0.5,0.0
SLC30A6,7.0,13.5,36.5,9.5
IWS1,6.0,6.0,18.5,4.0
RUFY2,3.5,13.5,59.0,6.0
SCYL2,3.5,6.5,32.0,6.0
KANSL3,25.0,33.5,152.0,30.5
RABL6,4.5,9.0,20.5,2.0
MREG,0.5,0.0,1.5,0.0
TRMU,2.0,2.0,10.5,2.0
YEATS2,26.0,46.5,146.0,31.0
PACS1,0.5,0.5,2.5,0.0
FRMD4A,0.0,0.0,0.0,0.0
LUC7L,4.5,4.0,26.5,0.5
KDM4D,0.0,0.0,1.0,0.0
NSUN5,10.5,15.0,32.5,8.0
RBM22,24.0,44.5,149.5,33.0
VAC14,0.5,1.0,6.0,2.5
RADIL,0.0,0.0,0.5,0.0
IARS2,8.5,9.0,28.0,10.5
MAP7D1,15.0,26.5,78.5,15.5
ARHGEF40,6.5,4.5,19.5,3.5
YJU2,11.5,13.0,27.5,8.0
POLR3B,3.0,2.5,16.5,2.0
CCDC88A,10.0,19.5,75.5,15.5
IPO9,25.5,46.0,193.5,25.5
NDC1,16.5,29.5,153.5,20.5
NECAP2,8.5,9.0,37.0,4.5
KBTBD4,8.5,9.5,34.5,8.0
FAR2,0.0,0.0,4.5,0.0
ZNF334,13.5,25.5,73.0,22.0
DOK4,0.0,2.0,9.5,0.5
LMBR1L,0.5,2.5,4.5,0.5
WDR11,3.0,2.0,8.5,1.0
POLR3E,7.5,12.5,42.0,6.5
SLF2,13.5,26.0,106.0,20.0
TSR1,54.5,107.5,323.0,73.0
IQCC,3.5,3.0,9.5,6.5
CEP72,1.0,7.5,27.0,3.0
ASF1B,26.0,39.0,133.5,30.0
INTS13,0.5,0.5,4.5,1.0
BTBD7,23.0,42.0,179.5,24.0
