KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
AIMP1,1293.4,1976.3,2239.4,1532.2,1331.7,1390.2,1303.3,2693.6
AIMP2,570.31,1042.1,944.06,662.49,667.61,641.71,639.67,1225.4
AIP,670,1182,1296,855,667,594,627,1372
AIRE,0,0,1,0,0,0,2,0
AIRN,0,2,0,0,1,2,2,1
AJAP1,0,0,0,0,0,0,0,1
AJM1,97,204,157,90,87,55,83,171
AJUBA,97,177,170,118,66,62,68,128
AJUBA-DT,1,3,4,6,2,3,5,2
AK1,2.53,19.92,21.64,18.56,5.08,11.42,12.87,21.91
AK2,11084,17913,18818,13544,9244.9,9555,8585,18368
AK2P2,0,0,0,0,1,0,0,2
AK3,615,837,985,828,610,674,611,1408
AK3P3,0,0,0,0,1,0,0,1
AK4,176.66,380.81,502.15,332.71,155.09,195.86,196.07,348.61
AK4P1,6.31,6.81,10.82,2.17,2.66,1.04,4.93,8.15
AK5,55,82,95,72,46,38,46,95
AK6,510.3,769.43,910.68,600.58,511.69,496.05,467.69,1144.3
AK6P2,0,0,1,0,0,1,0,0
AK7,13,22,15,16,7,7,13,10
AK8,0,0,0,1,0,1,3,0
AK9,53,92,111,66,48,62,60,108
AKAP1,1326,1995,1861,1463,1193,1139,1048,2322
AKAP1-DT,4,11,7,10,5,6,8,10
AKAP10,507,780,812,582,507,470,446,942
AKAP11,1896,2252,2449,1796,1683,1705,1612,3130
AKAP12,2,2,3,2,1,4,1,3
AKAP13,1384,2072,2156.9,1491,1011.4,971,934.99,1866.7
AKAP14,0,1,0,0,0,0,0,0
AKAP3,2,3,1,1,0,1,0,0
AKAP5,9,14,20,15,8,15,16,18
AKAP7,126,133,148,114,154,175,131,311
AKAP8,1619,2631,2583,1989,1427,1309,1304,2859
AKAP8L,1285.5,1927.1,1896.2,1452.9,1013.5,915.54,969.33,2051.6
AKAP9,1269,1466,1644,1392,1049,1267,1151,2321
AKIP1,374,630,647,396,349,284,329,642
AKIRIN1,1441,2179,2133,1538,1513,1446,1325,2874
AKIRIN2,431,823,840,655,499,467,464,876
AKNA,2446,3959,3413,2481,1636,1357,1381,2885
AKNAD1,0,1,1,0,0,0,1,1
AKR1A1,746,1680,1569,993,846,724,667,1472
AKR1B1,755,1727,1483,915,1020,784,800,1629
AKR1B1P1,0,1,0,0,0,0,0,1
AKR1B1P2,0,0,0,0,1,0,0,0
AKR1B1P3,0,0,0,1,0,0,0,0
AKR1C1,13.37,18.21,21.92,14.37,9.17,6.37,7.58,8.57
AKR1C2,24.63,58.79,65.08,37.63,15.83,21.53,31.42,34.43
AKR1C3,1,10,3,5,2,2.11,3,7
AKR1C4,1,0,0,0,0,0,0,0
AKR1C7P,5,8,6,5,0,1,4,10
AKR1C8P,1,1,4,2,0,0,0,1
AKR1E2,0,0,0,0,0,0,1,0
AKR7A2,1106,2329,1996,1183,1150,937,995,1972
AKR7A2P1,4,2,3,3,2,2,0,0
AKR7A3,9,10.18,29,16,21,12,17,11
AKR7L,16,26.82,34,17,30,23,18,41
AKT1,2390.1,4352.6,3887.9,2661.4,2294.2,1815.5,1944.3,4142.2
AKT1S1,1207.8,1969.6,1728.4,1452.6,951.5,778.78,820.72,1776.1
AKT2,2506,4497,3988,2788,2330,1975,1910,4400
AKT3,237.08,365.37,393.15,310.29,245.72,242.09,221.16,487.1
AKT3-IT1,0,1,0,0,0,0,0,0
AKTIP,37.14,76.93,73.16,53.91,52.99,50.5,41.11,95.51
ALAD,844,1403,1447,1099,904,794,834,1786
ALAS1,1414,2475,2597,1719,995,1016,999,2024
ALAS2,0,1,0,1,0,0,0,0
ALB,0,0,1,0,0,0,0,0
ALCAM,581,673,672,568,528,606,524,976
ALDH16A1,798.57,1697,1400.9,921,751.98,599.98,585,1207.8
ALDH18A1,1490,2487,2373,1672,1594,1181,1222,2697
ALDH1A2,0,0,0,4,0,0,0,1
ALDH1A3,76.68,100.2,113.39,73.86,13.76,17.91,13.3,35.06
ALDH1A3-AS1,31.32,72.8,29.61,55.14,18.24,19.09,25.7,60.94
ALDH1B1,1127,1936,1891,1334,1309,1167,1156,2556
ALDH1L1,0,0,1,0,0,0,0,2
ALDH1L2,697,976,1032,784,447,423,447,828
ALDH2,12.82,26.67,46,21.29,31.51,23,28.68,31.31
ALDH3A2,424,653,672,451,284,262,254,494
ALDH3B1,400,752,654,441,376,332,328,653
ALDH4A1,350,771,602,425,534,390,408,852
ALDH5A1,766,1237,1227,907,630,557,577,1186
ALDH6A1,641.99,957.85,1006.9,734.91,480,492.99,498.93,1018
ALDH7A1,0,1,1,3,2,2,0,2
ALDH8A1,5,11,13,7,8,4,10,12
ALDH9A1,1055,1825,1859,1320,1006,1021,912,1992
ALDOA,23845,48042,44767,28058,22353,18277,19598,37795
ALDOAP2,1,0,0,0,1,0,1,0
ALDOB,1,4,4,0,0,1,3,2
ALDOC,2302,4553,5619,3501.3,1731.5,1757.4,1906.2,3172
ALG1,260.39,622.04,563.77,363.76,350.47,277.67,322.25,630.23
ALG10,188.61,243.3,222.17,176.21,120.24,111.34,91.46,257.41
ALG10B,389.39,442.7,507.83,384.79,281.76,323.66,353.54,546.59
ALG11,237.7,307.18,329.46,223.4,220.96,178.38,160.16,419.16
ALG12,229.49,521.74,398.73,278.72,238.67,238.23,223.02,399.8
ALG13,421,656,766,568,503,485,485,932
ALG14,49,103,95,76,56,57,62,103
ALG14-AS1,0,1,0,0,0,0,0,0
ALG1L,0,0,1,5.7,0,0,0,1.56
ALG1L13P,49.94,68.27,77.75,43.63,17.94,42.63,24.5,67.73
ALG1L15P,0,0,0,0,0,0,1,0
ALG1L2,2,0,0,1,1,0,0,2
ALG1L9P,0,0,0,0,0,0,1,0
ALG2,511,741,833,567,466,451,397,876
ALG3,804,1348,1155,855,694,572,581,1219
ALG5,516,928,1004,684,612,518,536,1091
ALG6,287,388,440,319,256,322,223,544
ALG8,870,1385,1510,1021,882,812,739,1675
ALG9,309.65,554,491,339,285,251,260,511.99
ALKAL1,0,0,0,1,0,2,0,0
ALKAL2,0,0,0,0,1,0,0,0
ALKBH1,275,457,471,328,253,230,261,558
ALKBH2,240,431,462,313,234,249,191,475
ALKBH3,359,640,652,458,376,308,299,630
ALKBH3-AS1,0,5,0,2,3,4,0,5
ALKBH4,141.95,264.71,235.61,146.65,143.89,122.93,117.86,279.72
ALKBH5,1776.9,2925.7,2800.8,2166,1396,1343.9,1200.9,3015.9
ALKBH6,316.38,508.46,595.82,395.71,267.4,267.82,227.93,625.17
ALKBH7,420,998,803,451,380,341,342,720
ALKBH8,257,362,391,338,242,275,181,485
ALMS1,1040,1336,1259,923,708,722,718,1307
ALMS1-IT1,5,12,13,10,4,13,7,10
ALMS1P1,0,3,0,0,0,0,0,1
ALOX12,170.93,285.81,311.51,193.77,75,88,57.54,133.81
ALOX12-AS1,67.07,89.19,104.49,83.23,54,50,55.46,128.19
ALOX12B,0,0,0,1,1,0,0,0
ALOX12P2,65,76,100,76,28,27,22,62
ALOX15,4,2,2,2,12,3,7,8
ALOX15B,0,1,1,0,0,0,0,0
ALOX15P1,0,1,0,3,0,0,1,0
ALOX5,1,1,0,0,0,1,0,1
ALOX5AP,372,657,771,503,434,433,433,937
ALPK1,313,499,569,421,286,261,263,548
ALPK2,0,0,1.36,0,0,0,0,1
ALPK3,3,7,5,8,2,4,1,10
ALPL,0,0,0,0,0,1,0,0
ALS2,357,486,530,348,249,267,269,529
ALS2CL,15,26,16,23,20,13,13,34
ALX3,1.34,0,0,0,0,0,0,0
ALX4,1,0,1,4,2,1,1,0
ALYREF,1052,2609,2546,1758,1570,1313,1210,2577
AMACR,99.57,194,171.85,120,91.4,109,109,196
AMBP,0,1,0,0,1,0,0,0
AMBRA1,553,872,782,527,416,341,354,741
AMD1,2462,3692,3667,2832,2701,2774,2330,4953
AMD1P3,1,0,0,1,1,1,1,1.33
AMDHD1,0,2,2,3,4,2,3,6
AMDHD2,64.68,194.71,141.08,102.85,73.95,81,57.55,115.65
AMER1,507,642,557,439,298,269,248,531
AMFR,453,767,810,515,464,447,392,808
AMH,9,15,6,6,10,6,9,11
AMIGO1,6,6,9,8,7,4,9,14
AMIGO3,6.06,64.23,44.82,43.46,29.61,20.33,19.37,5.15
AMMECR1,580,747,803,735,457,521,450,928
AMMECR1L,577,891,912,634,527,485,452,1092
AMN,3.11,9.79,7.13,2.18,3.34,3.6,1,10.38
AMN1,82.4,111.71,130.56,82.16,85.83,83.18,110.3,163.71
AMOT,14,23,24,13,12,8,7,21
AMOTL1,1069,1555,1363,1028,702,649,704,1350
AMOTL2,0,0,0,0,0,0,0,1
AMPD1,0,1,0,0,0,0,0,0
AMPD2,578.65,1099.2,1015,673.91,622.93,474,525.32,977.11
AMPD3,131,214,217,144,110,112,101,231
AMPH,0,0,1,0,2,2,3,0
AMT,24.65,51.21,61.83,40.25,33.11,22.89,26.24,72.63
AMY1B,0,21.85,13.82,36.63,13.54,0,27.57,35.52
AMY1C,97.64,101.51,141.26,76,71.19,58.47,42.89,106.82
AMY2A,1.21,0,0,1.18,0,0,0,0
AMY2B,102.58,181.67,254.01,163.13,132.47,152.58,118.9,318.46
AMYP1,0,0,1,0,0,0,0,0
AMZ1,1,3,5,1,1,1,0,0
AMZ2,495,962,1058.9,694,574,593.97,538,1063
AMZ2P1,27,60,67.06,42,36,30.03,28,48.03
ANAPC1,2577.7,3648,3453.6,2492.8,2057.8,1799.9,1870.9,3773.5
ANAPC10,154.54,261.01,302.98,193.27,160.59,180.37,178.91,353.93
ANAPC11,390,1075,899,508,574,384,454,956
ANAPC13,526.95,815.6,907.01,638.57,637.57,585.45,529.04,1164.8
ANAPC15,480.68,778.4,792.84,565.06,450.72,392.81,391.73,965.8
ANAPC16,1063,1709,1956,1320,981,943,892,1953
ANAPC1P1,11.83,23.91,19.93,10.95,8.13,6,9.53,27.49
ANAPC1P2,25.09,0,66.74,10.89,11.77,3.31,0,14.66
ANAPC1P4,0,3.08,0,0,0,0.54,0,0
ANAPC1P5,4.7,0,0,0.5,0.01,0.21,4.68,5.3
ANAPC2,397,846,691,448,485,335,343,803
ANAPC4,450,811,909,574,581,628,566,1202
ANAPC5,2642,4772,4706,3055,3217,2732,2555,5854
ANAPC7,946.36,1631.6,1615.8,1037.7,1044.3,870.41,907.57,1883.3
ANG,7.62,9.23,12.12,8.35,6.52,5.76,4,11.96
ANGEL1,436.59,787.68,650.63,431.15,343.24,311.22,318.03,498.95
ANGEL2,495,766,782,601,548,522,572,1069
ANGPT1,87,109,132,71,9,16,7,20
ANGPT2,5,2,6,7,1,5,4,5
ANGPT4,0,10,0,2,2,0,2,6
ANGPTL2,1,6,5,2,0,4,7,4
ANGPTL4,2,2,5,1,3,2,0,2
ANGPTL6,10.7,9.56,11.67,8.37,5.5,7.6,5.32,15.04
ANGPTL7,1,2,0,0,1,0,0,0
ANGPTL8,0,1,0,0,0,0,1,0
ANK1,1,2,2,0,1,1,1,3
ANK2,21,37,36,23,20,19,19,34
ANK3,3,6,14,4,2,1,2,6
ANKAR,18,28,34,25,8,6,20,20
ANKDD1A,30,49.08,63.74,41.24,37.75,42,40.55,89.79
ANKDD1B,8,6,13,4,6,3,5,5
ANKEF1,51,88,100,82,48,49,47,94
ANKFN1,35,50,55,37,20,12,29,43
ANKFY1,1181.8,1777.4,1545.8,1168.1,1101.7,1017.6,959.91,2017.8
ANKH,154,218,261,176,125,115,132,218
ANKHD1,2836.5,4258.8,4555.2,2962.6,2417.1,2252.7,2206.8,4674.4
ANKHD1-EIF4EBP3,1229.9,1654.7,1689.9,1556.7,1107.9,1219.5,1157.1,2114.7
ANKIB1,494,658,722,529,402,495,423,855
ANKLE1,1139,1819.9,1784,1379,1136,905,856,2034
ANKLE2,1614,2577,2625,1889,1631,1435,1403,3048
ANKMY1,321,581.48,481.05,352.35,263.32,222,220,518.68
ANKMY2,341,493,605,384,309,282,293,638
ANKRA2,138.56,191,249,153,107,130,137,287
ANKRD1,0,0,0,1,0,0,0,0
ANKRD10,602,1050,1164,839,760,673,607,1362
ANKRD10-IT1,33,29,45,50,28,21,34,53
ANKRD11,3016,4508.8,4133.1,3316.4,2352.4,2321.3,2183.2,4660.5
ANKRD11P1,0,0,0,0,0,0,0,1
ANKRD11P2,1.21,0,0,1.08,0,0,2.61,0
ANKRD12,1916,2395,3295,2624,2236,2706,2357,4566
ANKRD13A,1198.8,1698.6,1674.7,1265.1,1031.9,909.36,948.48,1938.2
ANKRD13B,133,244,248,202,134,120,124,255
ANKRD13C,429,467,599,492,382,398,348,676
ANKRD13D,583,1088,945,651,641,524,541,1126
ANKRD16,96.83,131,141,109.96,56.33,66.7,54.95,139.58
ANKRD17,4097,4931,4687,3855,2774,2796,2801,5519
ANKRD18A,124.13,147.51,168.09,148.75,156.31,180.82,137.59,328.46
ANKRD18B,144.08,187.21,228,190.63,168.16,176.62,163.41,369.74
ANKRD18CP,0,0,1.01,0,0,1,0,0
ANKRD18DP,76,155,150,99,100,107,107,156
ANKRD18EP,60,48,57,69,34,46,38,80
ANKRD19P,0,1.44,0,0,1.25,0,1,1.23
ANKRD2,0,1,0,0,0,0,0,0
ANKRD20A1,4.9,1.76,0.32,0,4.32,2.22,0,17.88
ANKRD20A18P,1,1,0,2,0,0,0,0
ANKRD20A2P,1.21,15.64,12.51,0,0,0,9.4,8.38
ANKRD20A3P,0,1.17,1.26,0,2.7,0,0,3.91
ANKRD20A4P,24.89,20.15,31.23,26,18.99,18.78,20.13,26.83
ANKRD22,25,24,26,25,22,26,25,44
ANKRD23,7.7,18.64,23.13,16.83,4.76,10.27,6.56,20.66
ANKRD24,33,79,46,38,42,37,33,83
ANKRD26,389,515,654,531,399,457,410,829
ANKRD26P1,0,1,0,0,0,0,0,0
ANKRD26P4,0,0,0,0,0,0,0,1
ANKRD27,2434,4097.3,4100,2816,2398,2069,2073,4305
ANKRD28,2940,4405,5014,3871,1807,2065,1992,3830
ANKRD29,1,3,3,5,1,3,2,4
ANKRD31,2,0,0,0,0,1,0,1
ANKRD33B,28,48,57,26,20,16,21,29
ANKRD34A,6,13,15,8,10,3,7,22
ANKRD34B,0,0,0,1,0,0,0,0
ANKRD34C,0,0,0,1,0,0,0,0
ANKRD35,17,29,21,8,20,14,13,43
ANKRD36,281.96,479.84,546.69,387.09,374.21,373.98,357.23,696.93
ANKRD36B,268.02,363.75,372.6,373.02,220.74,281.67,261.61,554.02
ANKRD36C,209.02,333.41,343.71,254.88,222.05,211.35,214.16,448.05
ANKRD37,30.07,44.55,43.08,43.64,19.57,18.71,21.38,48.82
ANKRD39,89.3,152.41,134.06,103.22,87.3,73.79,65.5,130.34
ANKRD40,855.55,1294.7,1126.5,920.64,679.35,681.21,650.79,1370
ANKRD42,245.37,326,369,297.3,220.5,240.78,220.16,449
ANKRD44,901,1145,1302,934,799,850,801,1521
ANKRD44-AS1,1,0,0,0,0,0,0,0
ANKRD44-IT1,0,0,2,0,3,1,0,0
ANKRD45,0,0,0,0,0,1.57,1,2
ANKRD46,263.87,359.57,480.6,302.85,245.86,282,246.76,440.72
ANKRD49,282.83,300.69,380.41,297.32,255.31,293,247.26,549.4
ANKRD49P1,1,1,3,1,1,2,0,1
ANKRD49P3,0,2,0,0,0,0,0,0
ANKRD50,188,269,273,203,191,201,162,386
ANKRD52,1646,2502,2089,1606,1366,1225,1261,2153
ANKRD53,0,4,3,0,0,0,0,0
ANKRD54,283.17,623.4,527.77,340.51,297.96,251.48,260.12,634.58
ANKRD55,36,42,71,57,22,28,23,61
ANKRD6,12.82,13.27,17.41,13.13,6.92,3.3,15.24,13.29
ANKRD61,2,2,8,5,3,3,1,3
ANKRD63,2,2,2,2,1,0,0,0
ANKRD9,199.49,415.59,325.94,209.89,204,139.29,135.43,335.76
ANKS1A,417,707,671,455,365,325,306,683
ANKS1B,9.05,0,11.74,32.46,31.76,23.07,29.34,54.23
ANKS3,85,174,121,82,87,76,79,149
ANKS6,278,415,390,251,251,195,178,382
ANKZF1,631,1050,1188,817,587,497,498,1185
ANLN,1920,2563,2735,2019,1868,1832,1844,3494
ANO10,89,143,151,95,97,94,103,199
ANO2,0,0,1,0,0,0,0,0
ANO5,0,0,0,1,0,0,0,0
ANO6,1131,1505,1573,1132,809,726,836,1421
ANO7,3,7,4,4,5,3,2,3
ANO8,274,495,471,308,240,223,208,483
ANO9,13,18,23,20,4,11,10,19
ANOS1,0,0,0,0,0,0,0,1
ANOS2P,1,1,2,0,2,0,0,0
ANP32A,7699,12223,13439,9804,8396,8745,7590,17718
ANP32AP1,4,4,3,4,1,2,4,3
ANP32B,7402,11684,14319,10345,8148,8442,7837,18219
ANP32BP1,8,3,8,5,2,2,5,17
ANP32C,1,1,1,1,0,1,0,5
ANP32D,0,0,0,0,0,1,0,0
ANP32E,5852,7807,9368,7453,5924,6342,5803,12555
ANPEP,24,38,36,24,34,35,44,77
ANTKMT,65,165,128,81,84,72,66,152
ANTXR1,15,35,32,28,22,23,18,31
ANTXR2,1932,2767,3091,2283,1162,1315,1244,2421
ANXA1,434,843,918,514,792,769,788,1494
ANXA11,1848,3300,3068,2141,1948,1598,1670,3513
ANXA2,1202,2185.9,2313,1571,1598,1395,1370,3137
ANXA2P2,5.03,13.08,9.02,5,2.01,6.03,7.01,16.04
ANXA2P3,0,0,0,0,0,2,0,0
ANXA2R,7,14,25,8,3,9,11,19
ANXA4,428,727,817,591,494,441,471,861
ANXA5,727,1246,1331,977,1086,1079,1042,2114
ANXA6,1919,3255,3492,2275,2456,2045,2079,4656
ANXA7,510,863,822,620,563,487,447,1006
ANXA8,5,5.99,11,6,7,3,7,17.37
ANXA8L1,0,2.01,0,0,0,0,0,1.63
ANXA9,10,19,17,12,18,11,19,24
AOAH,48,99,89,52,94,68,70,135
AOC1,20,33,19,14,12,12,21,41
AOC2,1,6,6,2,0,6,4,7
AOC3,0,3,0,1,1,1,1,2
AOC4P,0,0,1,0,0,0,0,0
AOPEP,63,80,106,90,71,57,33,93
AOX1,1,10,9,6,4,8,3,7
AOX2P,0,0,0,0,0,0,0,1
AOX3P,0,0,0,1,0,0,0,1
AP1AR,259,358,383,311,227,274,265,521
AP1AR-DT,11,16,13,6,12,6,7,21
AP1B1,1548,2722,2232.2,1592,1427,1153,1116.8,2387
AP1B1P1,0,1,0,0,0,0,0,0
AP1G1,2623,3894,4044,3010,2485,2483,2400,4945
AP1G2,424.3,635.42,642.44,425.52,341.59,299.02,311.02,656.5
AP1G2-AS1,192.34,298.6,273.16,191.66,200.53,142.18,151.62,374.88
AP1M1,1969,3729,3146,1993,1989,1453,1617,3393
AP1M2,0,0,0,1,0,0,1,0
AP1S1,848,1593,1564,1033,888,707,731,1765
AP1S2,2052.4,2773.3,3358.3,2559.3,2151.2,2888.7,2511.5,4912
AP1S2P1,0,0,1,0,0,0,0,0
AP1S3,195,249,255,176,184,229,189,455
AP2A1,2205.1,4139.9,3425.9,2275.2,2157.7,1780.8,1824,3585.3
AP2A2,670,1246,1196,813,769,625,638,1419
AP2B1,3159,5200,5168,3591,2990,2693,2693,5390
AP2B1P1,2,0,1,0,1,0,1,2
AP2M1,2887,4834,4689,2955,2833,2363,2409,5581
AP2S1,1196,2628,2401,1480,1693,1390,1450,3150
AP3B1,2099,2801,3068,2278.8,1757,1848,1765,3470
AP3B2,3,10,7,6,4,2,1,12
AP3D1,4826,7516,6808,5090,3743,3411,3178,6851
AP3M1,1779.6,2403.7,2570.1,2018.4,1532.1,1593.3,1452.6,3183.7
AP3M2,335,523,597,361,394,312,357,671
AP3S1,770.09,1369.1,1461.4,1028.6,824.06,833.73,760.9,1703.4
AP3S2,255,426.41,461,272,231.1,217.75,246,435
AP4B1,233.11,563.65,578.1,361.76,338.51,274.4,321.09,685.74
AP4B1-AS1,13.89,33.35,33.9,37.24,24.49,32.6,15.91,42.26
AP4E1,744,987,1048,794,586,684,597,1154
AP4M1,170.23,356.55,333.05,211.25,177.2,136.55,151.62,295.43
AP4S1,84,125,139,90,83,84,76,152
AP5B1,664,1211,875,604,354,259,272,604
AP5M1,747,1027,1125,837,698,698,678,1306
AP5S1,187,384.99,324,233,202,161,155,383
AP5Z1,372,812,675,400,377,284,312,665
APAF1,1719.9,2534,2822.3,1901.5,1978.2,1955.9,1813.7,3802.8
APBA1,276,441.44,400,322,333,296,267,522
APBA2,79,142,129,75,91,58,61,140
APBA3,170,348,300,194,128,96,106,197
APBB1,294,559,503,328,109,111,112,204
APBB1IP,1908,3008,3094,2375,1799,1753,1700,3423
APBB2,20,27,14,19,11,18,17,34
APBB3,118.65,239.05,199.85,144,136.56,90.15,103.33,234.04
APC,856,1010,1032,884,633,631,648,1210
APC2,18.03,34.17,33.38,16.14,18.04,17.15,11.07,19.11
APCDD1L,0,1,0,0,0,1,0,0
APCDD1L-DT,0,0,1,0,1,0,0,0
APEH,2078,3768,3326,2124,2011,1709,1635,3765
APEX1,7522,12013,12462,8718,6898,6419,6269,14377
APEX2,622,1083,959,666,533,421,454,994
APH1A,1781.1,3967.9,3393.4,2102.7,2074.5,1761.2,1699.6,3850.6
APH1B,412,714,741,504,383,379,336,708
API5,3001,3961,4192,3189,2672,2836,2609,5513
API5P1,0,2,1,6,3,6,1,6
API5P2,0,0,0,2,0,0,0,0
APIP,411.89,678,775,551.97,452.96,414.97,441,873.97
APLF,49.65,53,79,56,51,37,31,80
APLN,1,2,0,1,0,0,2,0
APLNR,1,2,1,0,0,2,0,0
APLP1,67,129,123,89,64,54,39,115
APLP2,8069,12163,11972,8666,6541,6113,5830,12155
APMAP,727,1406,1267,908,813,669,637,1503
APOA1,1,6,1,0,3,0,0,13
APOA1-AS,0,1,0,1,1,0,1,1
APOA2,0,0,0,2,0,0,0,0
APOBEC2,0,1,0,0,0,2,1,2
APOBEC3A,0,0,0,0,0.85,0,2,0.66
APOBEC3B,339.95,594.77,644.78,364.8,288.08,285.97,261.96,572.28
APOBEC3C,2054,3220,3286,2351,1694,1671,1576,3382
APOBEC3D,3.05,10.9,7.2,9.2,3.07,1.03,1.45,4.24
APOBEC3F,24.78,45.04,52.58,39.97,18.53,13.35,8.31,26.63
APOBEC3G,412.22,680.96,686.42,482.03,322.47,294.65,292.69,645.37
APOBEC3H,58,116,97,83,59,46,36,106
APOBEC4,0,0,2,0,0,0,0,2
APOBR,1881.8,2946.2,3347.9,2642.6,1568.8,1501.3,1366,3710.5
APOC1,37,96,132.99,68.99,37.98,30.99,35,48
APOC1P1,0,1,0,0,0,0,0,0
APOC2,3332.1,6869.6,6500.8,3963.8,2948.3,2465.8,2753.2,5286.9
APOC4,0,0,0,1,0,0,0,0
APOC4-APOC2,24.87,43.4,42.24,28.2,11.71,16.19,22.77,27.1
APOD,0,8,11,5,2,0,1,3
APOE,0,3,4,5,3,3,3,7
APOF,1,0,2,0,0,0,0,0
APOL1,38,64,70,48,27,23,24,58
APOL2,158,198,222,164,85,87,73,214
APOL3,9,6,11,5,6,3,3,17
APOL4,400,663,697,480,380,352,359,745
APOL6,908,1339,1315,1030,509,635,568,1006
APOLD1,500.35,843.98,934.64,712.93,620.11,584.07,552.76,1098
APOM,15.09,39,35,20.11,13,9,10.07,41.16
APOO,82,138,154,96,95,73,74,156
APOOL,465,569,642,462,333,347,333,667
APP,1417,2127,2187,1623,1337,1218,1200,2699
APPBP2,555,748,930,705,600,593,550,1136
APPBP2-DT,1,1,0,1,3,1,0,2
APPL1,1598,2160,2352,1714,1206,1261,1169.6,2378
APPL2,117,216,231,151,111,137,112,268
APRT,1107,2478,1970,1180,1254,926,1062,2080
APTR,21,45,59,34,25,28,22,51
APTX,535,860,839,538,520,473,478,972
AQP1,7,4,13,9,11,10,10,17
AQP11,6,18,18,16,13,13,5,26
AQP3,146,273,253,159,205,151,143,402
AQP6,0,2,2,0,0,0,0,0
AQP8,0,0,0,0,0,0,0,1
AQR,1726,2364,2368,1658,1480,1336,1335,2635
AR,3,4,3,4,6,1,6,2
ARAF,807,1432,1171,831,705,601,609,1252
ARAP1,1840.1,3228.2,3163.8,2079.7,1615.5,1334.7,1329.9,2563.9
ARAP1-AS1,9.86,40.67,42.19,39.13,30.46,24.38,21.12,45.04
ARAP1-AS2,2,11.1,3.01,4.01,3.02,0,2,8.05
ARAP2,45,58,55,48,24,16,21,44
ARAP3,68,139,118,75,61,60,59,102
ARC,1,0,1,0,0,0,0,0
ARCN1,4200,6782,6598,5001,3734,3842,3645,7177
AREG,1,0,0,0,0,0,0,0
AREL1,817,1437,1311,887,788,684,724,1566
ARF1,4566,8420,8168,5634,4754,4217,4216,8908
ARF3,7997,13491,12081,8513.5,6330.4,5790,5467.5,12671
ARF4,1840,2945.2,3025.2,2268.2,1889,2009,1820.1,3604.9
ARF4-AS1,0,2.77,2.83,1.82,1.01,0,2.9,5.11
ARF4P1,0,0,0,0,0,0,1,0
ARF4P2,0,0,0,1,0,1,0,0
ARF5,648.15,1007,940.76,711.76,567.52,541,517,1034.1
ARF6,4405,6095,6860,5513,4321,5067,4213,8561
ARFGAP1,556,1095,972,633,563,453,482,1078
ARFGAP2,1534.6,3226.5,2628.6,1742.5,1599.2,1295.6,1346.6,2936.6
ARFGAP3,712,1304,1424,933,749,739,734,1400
ARFGEF1,2042,2666.5,3009.8,2257,1821,1781.2,1749,3471.5
ARFGEF1-DT,1,2,1,1,1,2,2,6
ARFGEF2,1354,1874,1847,1372,1086,1081,1102,2118
ARFGEF3,1,4,4,3,1,2,1,4
ARFIP1,557,822,951,698,552,632,533,1111
ARFIP2,555,946,859,655,477,418,410,927
ARFRP1,337,628,514,363,314,239,216,438
ARG1,1,0,0,0,0,0,0,1
ARG2,4.61,17.19,13.55,11.31,1.25,2,5.69,11.46
ARGFXP2,1,6,4,0,1,1,0,6
ARGLU1,1940,2696,3015,2289,1955,2147,1971,4452
ARHGAP1,1850,3349,2666,1887,1758,1345,1319,2769
ARHGAP10,208,357,351,237,289,250,226,543
ARHGAP11A,5867.5,7360,8089.9,6268.5,4947.3,5216,4709.2,10118
ARHGAP11B,16.07,35.28,36.57,21.3,38.79,19.76,9.9,53.44
ARHGAP12,330,445,490,385,239,256,231,445
ARHGAP15,785,1134,1405,931,754,836,841,1551
ARHGAP15-AS1,0,0,0,0,0,0,1,0
ARHGAP17,2044,3247,3007,2231,1681,1447,1519,3030
ARHGAP18,811,1029,1301,929,714,727,812,1455
ARHGAP19,1897,2782.9,2726,1997,1405.7,1432.5,1254.7,2831
ARHGAP19-SLIT1,0,5.1,0,0,8.28,7.49,5.32,0
ARHGAP21,381.96,508.91,516.93,444.96,214.98,253,217.94,484.92
ARHGAP22,4,10,8,0,3,0,2,3
ARHGAP23,251.95,449.96,401.96,295.9,226,198,175.98,395.9
ARHGAP23P1,0,0,1.57,0,0,1,0,0
ARHGAP24,1,1,1,1,3,1,1,3
ARHGAP25,412,588,671,449,299,284,262,554
ARHGAP26,1306,2004,1946,1295,1018,1051,1072,1920
ARHGAP27,490,971,776,550,521,438,439,953
ARHGAP27P1-BPTFP1-KPNA2P3,101.09,166.62,144.15,106.06,148.59,101.04,126.28,234.9
ARHGAP30,5380,8685,9327,6668,4229,4151,3981,9240
ARHGAP31,8,13,18,15,10,7,3,15
ARHGAP31-AS1,0,0,0,1,1,0,1,0
ARHGAP32,322,423,368,323,202,245,247,496
ARHGAP33,352,642,519,403,287,228,288.88,497
ARHGAP35,3305,5459,4844,3470,2841,2290,2311,5047
ARHGAP39,0,2,1,0,1,0,0,2
