,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
ALAS1,51.72,53.09,53.95,50.4,35.66,41.04,44.47,34.67
BIRC3,0.25,0.19,0.22,0.24,0.21,0.11,0.04,0.03
AKAP11,12.46,9.37,9.34,9.8,10.93,11.57,11.96,9.62
GLRX2,16.91,19.81,15.01,15.32,21.41,15.51,21.71,15.52
SNAPC1,5.43,5.74,5.62,5.72,4.66,5.77,6.03,4.45
DERA,18.38,19.73,19.23,16.33,21.67,17.98,18.21,15.87
STRAP,76.39,71.8,75.4,75.13,83.66,82.58,89.65,74.28
ABCC2,0.61,1.3,0.78,0.88,0.7,1.36,0.78,0.87
DEF6,25.98,29.23,27.48,24.33,25.05,20.4,20.87,18.55
PLEKHO1,9.14,10.08,9.64,9.43,7.03,6.23,6.93,6.14
GCLM,7.13,5.63,5.9,6.18,6.25,6.86,7.31,5.68
UBR2,10.24,9.17,9.33,8.88,8.15,8.44,9.06,7.32
EHD2,0.23,0.13,0.14,0.11,0.13,0.22,0.09,0.1
DEPDC1,11.6,9.11,8.72,11.06,10.17,11.26,11.62,8.69
CCDC28A,16.94,18.2,19.21,18.64,17.23,17.52,19.36,15.48
RRAGD,1.7,2.32,2.3,2.51,2.28,1.96,2.59,1.56
HSF2,6.8,5.7,7.8,6.41,6.9,7.74,7.7,6.01
PHF20,19.73,21.9,21.12,18.0,21.5,19.22,17.47,16.29
HSD17B6,2.45,0.92,1.3,2.08,1.48,1.21,0.59,1.55
NR1H3,3.41,3.15,3.57,2.74,2.83,2.64,2.38,2.12
TYMP,17.17,19.79,13.83,12.15,22.65,20.54,21.64,17.53
NCAPH2,29.16,41.12,30.99,27.24,30.52,24.37,27.71,25.69
TOMM34,19.33,21.76,17.82,19.07,19.47,17.39,19.29,17.48
SEC63,50.85,39.69,48.81,55.74,47.91,58.42,57.29,49.69
KPNA6,18.71,18.9,14.8,15.81,15.63,13.89,14.49,12.71
VIM,369.58,431.08,444.97,421.88,423.73,422.84,473.79,396.93
RTEL1-TNFRSF6B,1.5,1.66,1.39,1.24,1.47,1.36,1.24,1.37
FAS,1.28,0.74,0.67,0.84,0.53,0.89,0.99,0.73
RNASET2,98.66,115.65,118.01,102.19,118.61,103.89,106.66,104.18
CD44,245.48,249.57,244.97,245.55,125.92,136.62,150.28,120.31
KCNG1,2.16,3.01,2.4,2.77,2.49,2.01,2.45,1.47
AGPAT4,0.89,0.92,0.6,0.49,0.68,0.51,0.31,0.47
SLAMF7,0.03,0.07,0.0,0.0,0.16,0.06,0.2,0.06
BTN3A1,3.9,4.23,4.32,4.29,2.58,3.16,3.3,2.67
MIPEP,5.46,7.84,6.58,4.67,7.79,6.49,6.39,5.47
PRKCH,0.2,0.17,0.33,0.02,0.0,0.32,0.0,0.0
INSRR,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
IFNGR1,29.84,29.52,30.94,32.52,34.71,36.43,40.37,31.89
B4GALT7,6.67,9.53,6.1,8.45,5.49,4.75,5.51,6.95
SH2D2A,0.05,0.18,0.03,0.12,0.05,0.0,0.05,0.02
VRK2,15.61,12.04,12.74,12.66,13.37,13.71,14.08,12.02
TNFRSF1B,23.07,27.74,24.07,22.56,26.86,26.16,28.88,23.81
VEZT,12.0,11.83,10.99,12.3,12.17,8.95,11.58,9.91
POU2F2,17.99,17.96,15.21,18.66,13.36,15.9,14.13,12.2
BRD9,24.57,25.07,21.15,22.88,25.26,24.94,24.91,24.23
SNX1,59.62,64.8,56.05,56.68,57.83,51.32,56.14,48.1
TBPL1,10.94,13.02,12.45,12.1,11.03,9.31,13.96,11.95
ARNTL2,1.17,1.25,1.26,1.23,0.71,1.07,1.41,1.35
BCLAF1,149.58,110.53,98.43,121.62,95.6,90.23,98.43,92.29
SLC39A9,41.39,39.07,34.94,34.95,37.2,36.5,37.87,31.07
ANK1,0.02,0.02,0.01,0.0,0.02,0.01,0.04,0.01
TFB1M,10.74,12.46,14.77,13.91,11.62,14.21,11.25,11.24
RABEP1,32.06,28.68,26.13,24.74,23.75,26.14,28.78,25.17
HMGB3,87.42,71.68,70.59,83.88,79.88,76.7,85.49,83.53
NUP160,28.87,31.21,26.66,25.09,26.71,24.76,31.48,23.08
BAK1,17.92,22.11,17.96,16.18,18.4,14.44,16.52,13.75
IKZF2,0.86,0.55,0.46,0.34,0.36,0.55,0.3,0.28
GRN,135.28,167.72,117.68,109.75,142.76,120.02,130.56,113.53
FAM13B,14.11,11.37,11.12,12.47,11.59,12.8,12.39,10.98
ARHGAP31,0.06,0.06,0.07,0.2,0.07,0.05,0.02,0.05
CENPQ,6.32,6.36,6.04,6.78,5.62,6.78,7.23,6.0
SARS1,54.1,57.88,52.99,49.29,48.21,41.78,48.48,45.53
RANBP3,55.4,53.33,48.05,49.32,41.68,38.84,41.71,37.64
ARID4A,21.53,19.3,21.66,25.23,19.17,26.23,23.87,21.95
EIPR1,23.47,25.34,26.52,24.42,25.54,23.39,21.61,27.2
PNPLA6,60.37,65.17,56.87,58.92,52.72,51.39,56.65,39.67
IFT88,3.71,3.7,4.46,4.43,3.07,3.54,4.4,3.74
ALG1,9.35,14.3,11.77,10.45,12.16,10.76,13.98,11.33
ZCCHC8,13.11,13.26,12.18,15.28,11.88,14.26,13.17,12.03
ABCF2,23.86,27.68,21.49,17.28,32.74,18.11,21.89,22.97
CHPF2,10.95,13.42,8.77,9.24,10.88,8.47,10.13,9.04
LRRC7,0.07,0.03,0.07,0.09,0.04,0.16,0.0,0.07
FUT8,8.77,9.42,8.25,7.55,8.65,8.87,8.49,7.9
UBA6,16.86,20.81,14.81,12.28,9.75,11.48,9.44,9.34
GAB2,29.95,28.15,25.51,26.7,16.53,16.88,17.79,15.42
ATP6V0A1,13.43,16.26,13.82,14.96,11.47,10.9,12.97,9.49
PIAS1,22.02,17.72,16.58,17.43,15.31,15.67,18.85,14.83
SLC4A7,3.7,3.21,2.64,1.83,2.24,2.89,2.73,2.1
APBA2,1.6,2.27,2.13,2.16,2.13,1.64,2.6,1.52
MAP2K3,23.75,26.23,20.32,18.96,21.68,16.75,19.14,17.06
TMSB10,1226.1,1612.7,1519.7,1281.6,1162.3,1094.8,1162.4,1008.4
ASTE1,3.81,3.59,3.06,3.15,3.85,3.5,4.25,3.51
RNF19A,21.23,14.09,15.93,18.78,14.88,14.76,15.33,12.85
PEX3,4.28,4.91,5.59,4.37,5.26,6.3,6.29,8.13
GABARAPL2,41.73,51.2,52.14,45.66,48.78,48.01,49.4,44.65
SH3YL1,17.96,16.38,18.4,15.39,18.32,19.23,24.41,18.83
FAM136A,39.03,41.51,41.75,42.58,52.01,53.46,50.79,44.82
VCL,21.98,19.34,18.67,18.91,16.15,14.97,16.63,14.54
DEPDC1B,11.2,11.76,11.42,11.0,12.51,12.93,13.34,11.11
DAPK2,0.46,0.48,0.58,0.45,0.13,0.55,0.58,0.08
NSMAF,105.45,91.94,91.6,93.81,97.89,84.29,96.52,84.79
ADSS2,39.31,32.9,35.47,37.7,40.8,44.6,47.07,38.29
STAP1,0.63,0.16,0.18,0.17,0.16,0.16,0.18,0.05
TIMP2,9.16,9.96,8.83,9.46,9.35,8.36,10.91,8.06
RFC1,45.91,37.58,43.02,42.5,41.74,28.86,32.59,35.04
TBC1D23,12.02,9.98,11.43,11.52,11.84,12.92,13.37,12.55
CUL3,51.84,49.49,47.66,53.63,53.94,56.06,56.28,51.09
MYOM2,1.18,1.93,2.25,1.49,1.42,1.54,1.61,1.25
CYP46A1,0.02,0.0,0.01,0.05,0.06,0.2,0.03,0.01
ZZZ3,29.02,25.74,21.8,23.43,22.95,23.04,21.92,21.73
SLC18A1,0.0,0.13,0.0,0.22,0.0,0.0,0.0,0.01
USP2,6.0,6.01,4.73,5.27,4.28,3.39,3.67,3.15
TUBG2,1.85,1.79,1.72,1.69,2.02,1.31,1.38,1.78
RPL26L1,39.05,52.19,48.08,38.32,50.72,43.87,40.43,42.57
FLT4,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0
NSUN2,53.86,57.89,49.59,54.08,57.5,51.67,60.15,52.31
FBXO42,5.52,6.67,5.33,6.51,5.77,4.53,5.11,4.43
MFAP3,11.4,9.05,8.37,8.24,6.94,5.63,6.93,7.36
MRI1,21.54,22.9,21.0,18.07,20.32,18.21,18.64,17.74
METTL1,21.95,21.97,20.71,19.66,18.21,19.44,22.88,18.84
HOXC8,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.04
AGA,11.03,10.08,10.52,14.8,8.07,7.63,10.52,7.85
PI4K2B,15.5,12.61,13.32,13.73,12.42,15.03,14.56,12.4
BOD1L1,24.67,21.97,19.95,23.27,22.98,26.32,24.72,21.64
MAT2B,43.73,45.63,44.86,43.78,40.57,44.98,47.32,41.27
EDC4,23.32,20.55,18.61,17.01,22.1,19.03,25.71,19.38
TRIO,4.16,3.87,5.15,3.2,4.56,4.49,5.52,5.38
VCAN,0.39,0.11,0.09,0.12,0.03,0.03,0.03,0.25
CLEC16A,10.31,10.08,8.12,8.91,7.39,7.95,7.81,8.16
MSR1,0.28,0.47,0.65,0.59,0.3,0.4,0.18,0.15
MTREX,76.37,59.0,58.92,52.27,50.15,47.98,50.72,43.74
DNAH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
ZFYVE16,3.82,2.93,4.63,3.47,3.43,4.13,3.54,3.12
RIPOR1,11.99,12.41,10.02,13.2,12.36,10.85,11.62,9.74
RAI14,0.04,0.03,0.03,0.02,0.04,0.03,0.05,0.08
SOX30,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
PNKP,47.33,50.79,44.81,42.26,47.44,40.16,52.22,42.56
BEST2,0.0,0.23,0.05,0.06,0.0,0.04,0.0,0.07
PHLPP2,0.61,0.52,0.39,0.36,0.49,0.5,0.55,0.43
SPDL1,25.89,23.47,27.77,27.13,23.23,23.67,24.24,21.94
STAU2,43.21,30.91,31.93,32.54,28.28,30.14,32.94,27.28
SLC66A1,20.97,29.11,23.86,20.81,21.83,21.16,20.65,18.97
CTNS,7.89,7.46,7.63,8.0,6.33,5.37,6.62,6.03
RTN4R,1.38,2.67,1.73,1.41,2.25,1.84,2.65,1.25
PHF23,42.67,43.68,37.02,40.46,33.06,35.03,36.55,31.45
INPP4A,6.36,6.19,5.06,5.82,6.13,5.11,6.98,5.18
RAB27B,0.7,0.34,0.54,1.01,1.18,0.95,0.21,0.14
PSMA4,286.49,270.17,277.97,275.49,297.32,297.02,315.59,294.25
LSG1,22.88,22.52,21.52,22.43,24.57,24.2,26.31,23.12
PARP3,3.05,5.68,3.76,3.54,3.16,2.88,2.77,4.09
TNC,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAP3,7.07,8.89,6.77,6.29,6.26,6.32,6.53,6.42
RIPOR3,0.0,0.09,0.05,0.11,0.0,0.09,0.0,0.01
TDP1,37.37,41.47,38.7,35.76,35.07,36.1,32.1,31.52
AIFM2,1.32,1.13,1.28,1.05,1.27,0.91,1.3,0.71
SPATA7,3.39,3.05,3.48,3.32,2.28,4.09,3.81,3.46
MED17,16.46,14.15,16.01,15.96,16.74,17.14,16.35,14.9
RETSAT,12.46,11.09,11.36,11.25,10.53,8.85,10.37,8.49
CAPG,153.19,180.46,173.07,153.6,142.74,138.23,142.48,118.49
AP2S1,132.89,191.08,155.23,131.11,186.35,167.75,195.69,166.3
USH2A,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
TG,0.25,0.34,0.07,0.55,0.07,0.25,0.17,0.22
ADAM28,0.08,0.39,0.33,0.04,0.17,0.03,0.12,0.06
DCUN1D1,14.27,10.66,9.07,11.49,10.6,11.51,12.29,11.81
JADE2,17.2,16.02,11.77,11.58,10.85,10.36,9.39,9.33
ZIC2,2.59,2.93,2.66,2.36,2.31,2.84,3.05,2.57
LCP2,63.32,61.1,58.09,67.39,41.16,46.46,55.66,41.21
TRIT1,7.98,10.68,10.04,9.75,10.09,10.22,10.46,11.03
ADRB1,0.35,0.38,0.32,0.23,0.12,0.18,0.14,0.16
CUL7,4.83,4.8,4.0,3.83,3.48,2.99,3.42,2.87
CTNNA1,46.13,45.71,43.29,44.15,43.76,42.48,44.5,40.25
PHKA2,13.29,16.88,14.64,13.39,10.07,9.09,13.81,9.71
CNTLN,6.41,4.26,5.01,5.36,4.9,6.37,5.8,4.95
EPHA3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA5,177.73,204.48,189.82,182.98,177.62,179.44,186.38,153.61
GEMIN8,7.94,10.07,7.61,7.73,8.09,8.44,8.78,7.5
OFD1,16.47,13.97,15.48,14.73,24.44,21.14,22.06,21.62
GPM6B,0.26,0.24,0.27,0.42,0.44,0.36,0.48,0.35
WDR37,10.34,10.73,10.14,9.34,10.08,9.06,10.97,8.69
YTHDC2,10.31,9.15,8.39,11.07,11.49,11.87,11.04,11.19
CTPS2,5.17,5.09,4.67,4.8,5.45,4.33,4.92,4.63
ATP6V1H,16.1,17.78,17.3,16.74,18.92,17.27,19.02,16.52
POLR2B,68.0,66.2,62.06,60.4,65.72,74.97,67.43,61.63
FAM214A,4.24,2.71,2.75,4.0,2.68,3.51,4.23,2.93
ARAP2,0.45,0.56,0.28,0.35,0.23,0.14,0.36,0.18
TPR,47.76,36.12,34.59,36.26,35.22,35.57,38.99,32.81
CP,0.0,0.02,0.02,0.21,0.0,0.0,0.0,0.0
KATNIP,5.21,5.25,3.98,5.97,5.07,4.39,5.61,3.37
DTNBP1,8.59,9.14,8.3,7.95,8.21,9.02,7.09,7.44
XK,0.86,0.93,0.84,0.75,0.9,0.64,0.84,0.63
ANO2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
C12orf4,14.97,14.55,15.08,15.17,11.92,14.01,18.5,13.96
SCML1,4.66,4.29,4.83,5.19,3.82,5.75,5.71,4.63
WWC3,2.74,2.74,2.39,2.73,2.1,2.04,2.41,1.77
ARHGAP6,0.19,0.28,0.29,0.6,0.32,0.49,0.32,0.25
FAM184B,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01
MAP4,39.96,35.98,30.77,32.86,26.92,27.23,26.07,23.51
GOPC,14.6,11.6,12.13,14.7,13.68,15.74,15.27,12.52
ROS1,0.12,0.1,0.07,0.1,0.09,0.07,0.07,0.07
USP28,6.0,5.29,6.79,6.47,4.84,5.07,8.56,5.7
HDAC9,10.23,8.79,8.18,7.8,6.06,7.54,6.51,6.99
TSPAN17,8.4,11.27,8.26,8.26,10.1,8.42,7.67,7.64
NOP16,90.82,100.08,88.59,80.04,103.84,82.92,94.55,90.68
CC2D2A,0.0,0.05,0.01,0.02,0.0,0.0,0.02,0.23
RRM2B,27.64,25.17,21.6,22.47,27.11,30.6,28.46,22.06
ZNF800,17.31,13.3,13.17,13.84,13.46,14.71,17.21,11.42
TNFRSF17,0.0,0.06,0.1,0.14,0.0,0.0,0.0,0.0
SNX29,2.1,2.36,1.93,1.6,1.49,1.61,1.73,1.47
LMO3,0.0,0.0,0.01,0.07,0.0,0.02,0.0,0.01
MRPS10,35.8,33.66,33.05,35.52,35.82,38.6,35.77,33.69
RSF1,31.8,27.4,25.4,34.21,24.47,34.97,27.72,26.65
VPS13D,6.0,7.77,7.69,8.16,7.18,5.93,6.22,6.35
CELF2,60.42,54.1,51.44,54.92,44.7,49.66,49.37,39.29
FAM120A,62.5,64.66,52.16,53.23,49.16,48.29,48.84,45.21
R3HDM1,44.17,33.42,25.63,34.69,29.48,27.29,28.46,25.68
COL9A2,15.72,13.69,10.83,14.05,9.75,9.32,12.76,10.32
KITLG,0.02,0.01,0.01,0.02,0.0,0.02,0.03,0.02
ERCC8,4.99,4.4,4.54,4.61,5.05,4.91,4.9,4.13
ADAMTS6,0.13,0.16,0.13,0.24,0.25,0.09,0.07,0.18
H6PD,3.2,3.18,2.76,2.26,1.58,1.36,1.53,1.29
VAMP3,17.65,14.13,14.78,19.41,19.28,18.34,22.35,15.32
PER3,2.09,1.92,1.94,1.81,1.89,2.45,1.86,2.24
TNFRSF9,0.04,0.14,0.05,0.16,0.04,0.02,0.01,0.01
EPN3,0.0,0.0,0.01,0.1,0.0,0.03,0.0,0.0
LTBP1,0.12,0.21,0.0,0.0,0.13,0.0,0.01,0.02
RCN1,16.47,14.06,15.62,16.87,14.75,17.29,16.42,16.43
ELN,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02
RFC2,40.79,43.77,40.17,39.2,41.48,40.94,36.85,41.6
ARID1B,15.06,17.83,14.82,16.04,14.61,15.18,19.24,14.0
CLPTM1L,87.1,96.84,85.1,77.77,74.8,73.93,69.3,66.39
NEDD4L,0.19,0.36,0.04,0.36,0.13,0.37,0.12,0.06
FOXP3,0.16,0.23,0.13,0.18,0.34,0.16,0.15,0.12
PPP1R3F,0.84,1.2,0.81,0.79,1.45,2.36,0.98,0.6
HEXB,43.01,48.0,47.15,45.21,63.58,57.21,59.17,56.77
PTCD2,3.62,3.02,4.0,3.32,2.69,2.32,2.79,2.76
JKAMP,28.02,26.83,24.81,23.35,24.95,27.61,28.06,22.5
DKK3,0.0,0.16,0.0,0.0,0.0,0.05,0.0,0.0
NFE2L3,7.39,9.35,7.79,8.49,8.98,9.22,12.97,11.47
MCUR1,12.07,9.89,9.67,12.45,7.36,10.93,10.0,10.22
LIMA1,15.78,14.72,13.61,15.71,13.85,15.78,15.41,13.06
LETMD1,42.45,51.28,47.43,45.99,43.26,43.6,47.56,37.32
SLC4A8,0.47,0.63,0.52,0.43,0.79,0.29,0.66,0.69
LAMC3,0.03,0.09,0.16,0.04,0.05,0.14,0.02,0.11
PTGER3,0.01,0.02,0.01,0.02,0.0,0.05,0.0,0.01
TNIP3,0.31,0.22,0.06,0.02,0.17,0.0,0.0,0.04
MAPK9,15.71,14.28,14.45,13.9,15.95,14.92,17.2,13.92
COL23A1,10.6,10.98,9.88,9.7,11.69,10.77,11.32,9.63
FAM160A2,8.62,12.25,8.78,9.52,9.72,9.62,11.32,8.71
HERPUD1,53.93,63.74,62.14,58.4,64.32,55.21,57.45,54.12
HOMER3,24.93,29.46,22.39,24.3,19.34,17.14,20.04,19.45
RAD51,19.34,20.07,20.47,20.29,21.1,20.14,21.85,18.68
POLQ,8.95,7.6,6.88,8.53,9.09,6.48,8.12,6.67
PIK3CB,35.77,30.26,30.98,29.63,34.56,35.04,34.22,32.18
CYBA,512.18,624.03,501.01,468.23,532.13,424.65,482.81,416.81
THOC3,62.03,68.02,62.66,64.52,63.95,62.45,60.87,58.65
HEBP2,21.14,23.99,19.06,16.69,19.99,15.32,16.88,15.81
MPHOSPH9,30.75,28.48,26.06,23.65,23.68,19.63,19.09,19.94
PLEKHA5,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01
PRSS8,0.0,0.04,0.16,0.05,0.0,0.16,0.06,0.03
SIKE1,16.49,14.12,15.53,14.81,15.81,13.57,17.16,11.22
RRP12,27.27,27.71,23.83,25.37,22.55,22.8,21.72,22.75
FNIP2,0.4,0.29,0.29,0.3,0.35,0.36,0.42,0.22
MSMO1,79.26,74.66,96.31,99.49,60.64,86.02,82.0,66.43
TTC17,46.02,41.94,40.39,45.58,41.09,41.94,46.55,39.88
ALX4,0.01,0.0,0.01,0.04,0.02,0.01,0.01,0.0
FOXN3,50.44,44.88,38.95,41.94,32.99,35.2,37.62,27.58
AKR7A2,66.84,89.09,69.86,58.71,70.73,60.75,69.03,56.2
MRTO4,49.06,55.69,47.19,50.13,57.68,49.6,54.0,48.64
NNAT,0.88,0.52,0.59,0.11,0.48,0.45,0.52,0.48
USE1,50.71,58.54,54.3,51.53,52.57,43.72,55.57,48.34
MCF2L2,0.0,0.01,0.03,0.15,0.18,0.19,0.01,0.0
NRIP2,0.46,0.79,0.57,0.66,0.56,0.48,0.44,0.46
LAMA3,0.14,0.37,0.14,0.1,0.4,0.18,0.6,0.06
AP5M1,14.87,13.92,13.95,14.3,13.79,13.78,13.48,13.02
ANAPC4,13.25,14.26,14.2,13.45,17.08,18.09,18.2,15.04
KCNQ1,3.41,3.26,2.65,2.28,1.72,2.4,2.85,2.14
TRAPPC3,45.92,47.12,53.58,49.65,48.09,50.85,48.27,54.85
THRAP3,80.56,78.88,67.86,76.75,65.09,65.11,67.08,64.99
PHPT1,64.56,88.49,71.36,60.2,85.1,69.14,76.22,71.58
ENTPD2,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
LY75,13.72,12.0,10.6,10.22,9.92,10.84,10.95,8.87
ARID4B,20.08,17.93,18.11,20.3,17.27,20.13,20.05,17.41
OPN3,48.05,51.02,49.56,52.08,69.0,71.72,78.35,60.43
SDCCAG8,12.73,11.95,11.98,13.82,11.98,9.02,13.86,10.84
PTPRN,0.0,0.0,0.0,0.07,0.0,0.09,0.0,0.0
HHAT,0.89,1.24,1.15,0.88,0.8,1.18,1.3,1.11
KIF1B,1.21,1.16,1.02,1.1,0.95,0.82,0.8,0.77
FOXC1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
TBC1D22A,13.83,15.93,16.23,14.27,13.86,14.13,14.56,13.21
PLEKHH1,1.01,1.26,0.82,0.76,1.13,1.13,1.53,1.22
ATP9A,0.06,0.03,0.06,0.02,0.06,0.08,0.08,0.07
CHRDL2,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0
FAM168A,10.09,8.85,7.47,8.15,8.43,9.19,8.6,6.98
RELT,9.92,13.95,9.38,9.22,9.85,7.86,7.82,7.43
GALC,6.27,5.54,7.03,5.49,8.79,8.33,7.54,6.66
NOP58,109.85,104.01,108.04,107.42,112.91,120.37,119.22,107.23
SZRD1,70.8,70.35,63.69,71.11,56.67,54.95,57.16,51.02
KCNH2,0.06,0.1,0.04,0.14,0.06,0.06,0.12,0.05
CUL1,20.87,19.74,20.2,19.86,23.13,22.24,22.59,20.05
FAM114A2,11.23,14.76,12.46,12.29,10.54,10.17,12.74,10.31
CYFIP2,2.61,2.41,2.0,2.06,3.04,2.08,2.02,1.7
TAB2,17.33,16.33,16.23,18.05,17.98,18.1,20.47,17.1
GINM1,10.3,10.61,10.28,11.18,11.23,12.77,13.03,11.04
EIF2AK2,3.8,2.55,2.69,3.22,2.43,2.3,2.07,1.86
USP36,25.2,26.4,21.22,24.09,24.04,21.91,23.26,22.69
KMT2C,16.08,14.4,13.11,14.98,12.58,13.3,14.51,12.36
MCOLN3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02
PUM2,46.09,41.94,41.01,41.47,40.82,46.13,47.14,38.8
MRPL43,31.17,36.68,32.43,30.55,35.75,26.79,36.29,29.66
ITIH4,0.96,0.95,1.13,1.29,1.45,2.45,1.24,0.96
ITIH1,0.24,0.07,0.15,0.0,0.37,0.03,0.29,0.3
HPF1,12.94,10.63,13.09,13.21,13.33,14.82,16.2,13.56
ZFR,377.47,293.31,329.79,344.6,246.38,265.91,279.83,240.45
ZNF280C,2.68,2.19,2.18,2.56,2.66,2.51,2.46,2.26
TRAF1,2.76,3.91,4.36,4.33,1.78,2.17,2.22,1.55
RC3H2,10.92,8.55,8.37,8.14,6.28,8.08,9.35,7.43
IL17RB,0.77,0.56,0.62,0.97,0.81,0.81,1.01,0.77
TRAF3IP2,6.29,6.05,6.28,5.31,3.8,5.71,5.46,4.3
GYG2,0.25,0.06,0.05,0.07,0.0,0.13,0.06,0.06
DCBLD2,2.65,1.92,1.8,1.55,2.42,2.24,1.91,1.71
SOAT1,4.44,3.89,4.03,5.1,4.35,3.22,3.6,2.83
MSH4,0.02,0.04,0.05,0.07,0.04,0.02,0.02,0.04
GDI2,267.86,274.16,272.57,279.14,268.19,284.3,315.3,255.33
PRDM1,0.69,0.6,0.77,0.66,0.88,1.24,0.89,0.64
ATG5,10.36,11.14,12.7,13.76,12.48,12.94,16.15,13.18
TMCC3,0.02,0.02,0.03,0.0,0.02,0.0,0.02,0.28
PITHD1,23.42,27.0,22.87,27.8,23.68,23.98,26.2,22.77
MTA3,1.85,1.71,1.56,3.38,1.65,2.95,2.03,1.35
USP13,4.88,3.94,3.16,3.08,2.85,2.48,2.51,2.84
ATP11B,26.07,17.66,20.36,21.22,15.45,18.27,17.79,15.34
LAMC2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
CDK14,1.26,1.06,0.99,1.24,1.38,1.1,1.39,1.0
SEC61A1,120.99,140.06,113.13,112.77,108.57,97.69,103.41,91.06
PPP1R12A,68.69,45.71,48.52,62.06,47.98,55.24,61.4,49.52
RASGRF1,1.21,0.47,0.97,0.62,0.24,0.28,0.39,0.34
CAMK2B,0.93,1.45,1.03,0.84,0.86,0.64,0.8,0.45
CROCC,1.24,1.13,1.03,0.66,1.32,1.28,1.56,1.18
POLR3E,25.64,21.16,17.45,16.11,18.31,16.17,18.19,16.49
ATP2B4,34.77,31.78,31.85,34.8,26.21,26.88,28.83,23.45
ZC3H11A,45.85,46.22,47.18,48.51,45.81,50.9,47.16,44.76
RIOK2,13.5,10.64,12.33,14.09,11.87,12.11,12.25,11.24
YIPF1,12.94,15.4,14.01,12.98,13.13,13.68,15.47,12.91
NDC1,23.02,21.18,18.88,19.74,19.09,20.68,19.59,17.53
DGKG,7.52,7.26,3.64,7.52,3.65,7.74,6.68,4.67
FLYWCH1,7.97,10.41,7.82,7.8,9.51,7.04,16.79,6.31
UNKL,2.7,5.81,6.39,2.96,2.67,2.56,3.58,4.59
TBXAS1,8.67,9.32,8.93,7.4,6.55,5.95,6.73,6.06
PARP12,0.16,0.32,0.13,0.2,0.1,0.17,0.64,0.13
ALDH18A1,31.42,32.71,28.43,28.89,32.66,25.51,29.22,26.77
TARBP1,37.72,49.08,46.97,40.64,49.04,56.67,58.78,49.71
GATB,12.11,14.13,12.95,11.71,14.5,11.62,11.4,10.53
MXD1,10.5,9.79,10.05,10.17,7.31,8.23,8.46,7.14
CDK17,4.45,4.61,4.06,4.4,3.48,4.13,4.04,3.49
DNAJC25,4.31,3.42,3.99,4.54,4.16,4.76,4.15,3.66
SLC2A3,23.15,32.78,46.4,40.01,15.92,21.36,25.92,17.47
PSD,0.68,1.02,0.78,0.79,0.69,0.84,1.03,0.56
CTDP1,17.95,20.03,17.02,16.36,15.87,14.41,15.37,14.91
YBX3,149.02,162.83,153.02,148.57,190.53,157.83,189.17,157.88
STYK1,1.73,0.33,0.19,0.73,0.35,0.71,1.33,0.23
WNK1,45.79,44.17,35.78,32.56,31.08,26.58,32.67,30.07
CCAR1,77.68,69.19,79.53,84.6,87.56,95.79,91.03,93.55
OGFR,30.65,33.6,27.08,29.79,28.8,26.75,27.12,27.45
GNA15,56.0,63.31,60.81,59.67,53.74,49.54,50.44,44.72
CREB3L3,0.13,0.03,0.0,0.05,0.03,0.0,0.03,0.0
PIGV,7.79,10.18,8.74,8.2,8.29,5.81,9.4,6.73
PTPRU,0.61,0.45,0.36,0.34,1.04,0.63,0.19,0.6
SNRNP40,46.46,58.81,52.61,51.1,64.12,51.14,59.25,55.48
COL11A1,0.05,0.02,0.0,0.0,0.04,0.05,0.05,0.04
QSER1,14.81,11.97,12.01,12.69,10.92,11.75,12.15,9.41
MPC1,36.95,34.09,34.79,35.71,40.45,40.51,42.71,34.06
ACAA1,30.06,32.01,31.3,27.99,31.21,27.57,32.46,27.76
BCAT1,19.44,12.9,11.8,13.2,9.62,10.43,9.63,7.83
HDAC7,10.33,12.02,9.09,8.29,9.4,7.54,7.89,7.62
LZTS1,2.54,2.83,2.06,2.29,1.84,1.29,1.51,1.41
SPAG4,1.4,1.3,1.57,2.34,1.95,1.62,1.37,1.08
